DNo,Location,Social Category,Income,prim_Girls_socialcat,prim_Girls_income
10001,ANANTAPUR,General,High,25.861029,74.13897
10002,CHITTOOR,SC,High,2.4991014,97.5009
10002,CHITTOOR,ST,High,47.769035,52.230965
10003,EASTGODAVARI,OBC,High,1.1635883,98.83641
10003,EASTGODAVARI,ST,High,0.91389364,99.086105
10004,GUNTUR,General,High,3.9367452,96.06325
10004,GUNTUR,SC,High,2.5361655,97.46384
10004,GUNTUR,ST,High,22.702148,77.29785
10004,GUNTUR,Overall,High,15.339489,84.660515
10005,KADAPA,General,High,38.813747,61.18625
10005,KADAPA,ST,High,6.815677,93.18432
10005,KADAPA,Overall,High,44.89185,55.108154
10006,KRISHNA,ST,High,4.5526752,95.44733
10006,KRISHNA,Overall,High,1.0700965,98.92991
10007,KURNOOL,OBC,High,17.287132,82.71287
10007,KURNOOL,SC,High,36.164692,63.835304
10008,NELLORE,OBC,High,1.9623356,98.03766
10009,PRAKASAM,General,High,37.72904,62.27097
10009,PRAKASAM,OBC,High,4.555378,95.444626
10009,PRAKASAM,SC,High,0.85139394,99.14861
10009,PRAKASAM,Overall,High,3.7668016,96.23319
10010,SRIKAKULAM,OBC,High,4.8151937,95.1848
10010,SRIKAKULAM,Overall,High,9.406673,90.59333
10011,VISAKHAPATNAM,SC,High,1.6850363,98.31496
10012,VIZIANAGARAM,General,High,7.587018,92.41298
10013,WESTGODAVARI,OBC,High,5.9194555,94.08054
10013,WESTGODAVARI,ST,High,25.817087,74.18291
10013,WESTGODAVARI,Overall,High,3.6940808,96.30592
10101,ArunachalPradesh,General,High,1.0572084,98.94279
10101,ArunachalPradesh,ST,High,39.950134,60.049862
10201,BAJALI,OBC,High,1.4783561,98.52165
10201,BAJALI,ST,High,8.357726,91.642265
10202,BAKSA,General,Low,9.478401,90.52159
10202,BAKSA,OBC,Low,1.2809844,98.71902
10202,BAKSA,SC,Low,4.730028,95.26997
10203,BARPETA,General,High,10.209487,89.79052
10203,BARPETA,OBC,High,2.252632,97.747375
10203,BARPETA,ST,High,1.6180198,98.38198
10204,BISWANATH,OBC,High,27.52872,72.471275
10204,BISWANATH,SC,High,5.2291675,94.77083
10204,BISWANATH,Overall,High,21.071829,78.92817
10205,BONGAIGAON,General,High,15.051105,84.94889
