DNo,Location,Social Category,Income,dropout,prim_Overall_social_category,prim_Overall_income
10001,ANANTAPUR,General,High,1,49.9281644821167,50.07182955741882
10001,ANANTAPUR,OBC,High,0,84.20865684747696,15.79134464263916
10001,ANANTAPUR,SC,High,0,52.39748954772949,47.60251045227051
10001,ANANTAPUR,ST,High,0,83.09198915958405,16.908013820648193
10001,ANANTAPUR,Overall,High,0,84.13024693727493,15.869754552841187
10002,CHITTOOR,General,High,0,78.39024066925049,21.60975933074951
10002,CHITTOOR,OBC,High,0,84.28528308868408,15.714716911315918
10002,CHITTOOR,SC,High,1,2.2558726370334625,97.74412512779236
10002,CHITTOOR,ST,High,0,62.76397109031677,37.23602890968323
10002,CHITTOOR,Overall,High,0,84.20865684747696,15.79134464263916
10003,EASTGODAVARI,General,High,0,82.5015664100647,17.498433589935303
10003,EASTGODAVARI,OBC,High,1,0.46799988485872746,99.53200221061707
10003,EASTGODAVARI,SC,High,0,84.20865684747696,15.79134464263916
10003,EASTGODAVARI,ST,High,1,0.22755686659365892,99.77244734764099
10003,EASTGODAVARI,Overall,High,0,84.20865684747696,15.79134464263916
10004,GUNTUR,General,High,1,1.6203571110963821,98.37964177131653
10004,GUNTUR,OBC,High,0,84.20865684747696,15.79134464263916
10004,GUNTUR,SC,High,1,0.19167829304933548,99.8083233833313
10004,GUNTUR,ST,High,1,8.601942658424377,91.39806032180786
10004,GUNTUR,Overall,High,1,49.77938234806061,50.22062063217163
10005,KADAPA,General,High,1,20.145662128925323,79.8543393611908
10005,KADAPA,OBC,High,0,82.5015664100647,17.498433589935303
10005,KADAPA,SC,High,0,84.13024693727493,15.869754552841187
10005,KADAPA,ST,High,1,8.003950119018555,91.99604392051697
10005,KADAPA,Overall,High,1,39.67403173446655,60.32596826553345
10006,KRISHNA,General,High,0,82.5015664100647,17.498433589935303
10006,KRISHNA,OBC,High,1,37.87502348423004,62.12497353553772
10006,KRISHNA,SC,High,1,40.64961373806,59.350383281707764
10006,KRISHNA,ST,High,1,9.349817782640457,90.65017700195312
10006,KRISHNA,Overall,High,1,0.32639491837471724,99.67359900474548
10007,KURNOOL,General,High,0,82.33637660741806,17.66362190246582
10007,KURNOOL,OBC,High,1,22.42954820394516,77.57045030593872
10007,KURNOOL,SC,High,1,14.207930862903595,85.79207062721252
10007,KURNOOL,ST,High,0,84.20865684747696,15.79134464263916
10007,KURNOOL,Overall,High,0,78.39024066925049,21.60975933074951
10008,NELLORE,General,High,0,82.5015664100647,17.498433589935303
10008,NELLORE,OBC,High,1,0.28209893498569727,99.71790313720703
10008,NELLORE,SC,High,0,84.13024693727493,15.869754552841187
10008,NELLORE,ST,High,0,84.13024693727493,15.869754552841187
10008,NELLORE,Overall,High,0,58.588168025016785,41.411834955215454
10009,PRAKASAM,General,High,1,46.10798358917236,53.89201641082764
10009,PRAKASAM,OBC,High,1,0.8165797218680382,99.18341636657715
10009,PRAKASAM,SC,High,1,0.01591399632161483,99.98408555984497
10009,PRAKASAM,ST,High,0,84.20865684747696,15.79134464263916
10009,PRAKASAM,Overall,High,1,0.3744401503354311,99.625563621521
10010,SRIKAKULAM,General,High,0,78.39024066925049,21.60975933074951
10010,SRIKAKULAM,OBC,High,1,7.666516304016113,92.33348369598389
10010,SRIKAKULAM,SC,High,0,88.14590349793434,11.85409426689148
10010,SRIKAKULAM,ST,High,0,84.28528308868408,15.714716911315918
10010,SRIKAKULAM,Overall,High,1,1.4547721482813358,98.54522347450256
10011,VISAKHAPATNAM,General,High,0,84.20865684747696,15.79134464263916
10011,VISAKHAPATNAM,OBC,High,0,84.993876516819,15.00612497329712
10011,VISAKHAPATNAM,SC,High,1,0.12479751603677869,99.87519979476929
10011,VISAKHAPATNAM,ST,High,0,82.5015664100647,17.498433589935303
