DNo,Location,Social Category,Income,prim_Overall_socialcat,prim_Overall_income
10001,ANANTAPUR,General,High,20.593157,79.406845
10001,ANANTAPUR,SC,High,48.000767,51.999237
10002,CHITTOOR,SC,High,0.61429346,99.38571
10002,CHITTOOR,ST,High,24.336634,75.66336
10003,EASTGODAVARI,OBC,High,0.50030106,99.4997
10003,EASTGODAVARI,ST,High,0.119127266,99.880875
10004,GUNTUR,General,High,1.4995198,98.50048
10004,GUNTUR,SC,High,0.04885405,99.95115
10004,GUNTUR,ST,High,8.273899,91.7261
10004,GUNTUR,Overall,High,22.85599,77.14401
10005,KADAPA,General,High,3.2080934,96.79191
10005,KADAPA,ST,High,4.7830553,95.21694
10005,KADAPA,Overall,High,6.122684,93.87731
10006,KRISHNA,OBC,High,15.763865,84.23613
10006,KRISHNA,SC,High,27.568413,72.43159
10006,KRISHNA,ST,High,0.80481684,99.19518
10006,KRISHNA,Overall,High,0.19995558,99.80004
10007,KURNOOL,OBC,High,6.830711,93.16929
10007,KURNOOL,SC,High,3.183933,96.81607
10008,NELLORE,OBC,High,1.4839852,98.516014
10009,PRAKASAM,General,High,6.266831,93.73318
10009,PRAKASAM,OBC,High,7.8792357,92.120766
10009,PRAKASAM,SC,High,0.0802178,99.91978
10009,PRAKASAM,Overall,High,2.6355612,97.36444
10010,SRIKAKULAM,OBC,High,1.0611281,98.938866
10010,SRIKAKULAM,Overall,High,0.12367859,99.87632
10011,VISAKHAPATNAM,OBC,High,48.60831,51.39169
10011,VISAKHAPATNAM,SC,High,1.4419798,98.55802
10012,VIZIANAGARAM,General,High,0.92456853,99.07544
10012,VIZIANAGARAM,SC,High,24.332668,75.667336
10013,WESTGODAVARI,General,High,45.609516,54.39049
10013,WESTGODAVARI,OBC,High,3.0658252,96.93417
10013,WESTGODAVARI,ST,High,3.3001084,96.69989
10013,WESTGODAVARI,Overall,High,1.5238222,98.47618
10101,ArunachalPradesh,General,High,0.085989304,99.914
10101,ArunachalPradesh,ST,High,0.36560994,99.63439
10201,BAJALI,OBC,High,0.40267786,99.59732
10201,BAJALI,ST,High,1.7670748,98.23292
10202,BAKSA,General,Low,1.1725146,98.827484
10202,BAKSA,OBC,Low,0.21008262,99.78992
10202,BAKSA,SC,Low,9.577586,90.42242
10203,BARPETA,General,High,41.386143,58.61386
10203,BARPETA,OBC,High,0.7364459,99.26356
10203,BARPETA,ST,High,0.58868897,99.411316
10204,BISWANATH,OBC,High,22.766846,77.233154
10204,BISWANATH,SC,High,1.6766022,98.323395
10204,BISWANATH,Overall,High,2.0790906,97.920906
10205,BONGAIGAON,General,High,9.143896,90.8561
10205,BONGAIGAON,Overall,High,0.018220289,99.98178
10206,CACHAR,OBC,Low,8.583959,91.41604
10206,CACHAR,SC,Low,21.80577,78.19423
10206,CACHAR,ST,Low,0.57285357,99.427155
10207,CHARAIDEO,SC,Low,36.050137,63.949863
10207,CHARAIDEO,ST,Low,2.923229,97.076775
10207,CHARAIDEO,Overall,Low,9.444137,90.55586
10208,CHIRANG,OBC,High,2.2256038,97.77439
10208,CHIRANG,Overall,High,0.039562043,99.96044
10209,DARRANG,SC,High,45.459892,54.540108
10210,DHEMAJI,General,High,1.3294532,98.67055
10210,DHEMAJI,ST,High,3.8687804,96.13122
10211,DHUBRI,General,High,0.84789383,99.1521
10211,DHUBRI,Overall,High,0.015966708,99.984024
10212,DIBRUGARH,General,High,0.11662508,99.88337
10213,DIMAHASAO,General,High,2.3589737,97.64103
