DNo,Location,Social Category,Income,dropout,snr_Boys_social_category,snr_Boys_income
10001,ANANTAPUR,General,High,1,0.03374942170921713,99.96625185012817
10001,ANANTAPUR,OBC,High,1,0.001861697091953829,99.99814033508301
10001,ANANTAPUR,SC,High,1,0.004655788143281825,99.99533891677856
10001,ANANTAPUR,ST,High,1,0.0032974276109598577,99.99669790267944
10001,ANANTAPUR,Overall,High,1,0.002045692235697061,99.99794960021973
10002,CHITTOOR,General,High,1,0.6387540139257908,99.36124682426453
10002,CHITTOOR,OBC,High,1,0.08370237774215639,99.9163031578064
10002,CHITTOOR,SC,High,1,0.0696276780217886,99.93036985397339
10002,CHITTOOR,ST,High,1,0.0649124151095748,99.93508458137512
10002,CHITTOOR,Overall,High,1,0.07671834318898618,99.92327690124512
10003,EASTGODAVARI,General,High,1,0.012546234938781708,99.9874472618103
10003,EASTGODAVARI,OBC,High,1,0.004538327993941493,99.99545812606812
10003,EASTGODAVARI,SC,High,1,0.012437008263077587,99.98756647109985
10003,EASTGODAVARI,ST,High,1,0.04902681685052812,99.95096921920776
10003,EASTGODAVARI,Overall,High,1,0.00426682126999367,99.99573230743408
10004,GUNTUR,General,High,1,0.04959478392265737,99.95040893554688
10004,GUNTUR,OBC,High,1,0.0048519861593376845,99.99514818191528
10004,GUNTUR,SC,High,1,0.008225913916248828,99.991774559021
10004,GUNTUR,ST,High,1,0.028283381834626198,99.97171759605408
10004,GUNTUR,Overall,High,1,0.006231175939319655,99.9937653541565
10005,KADAPA,General,High,1,0.00593936383666005,99.99406337738037
10005,KADAPA,OBC,High,1,0.0003203277628927026,99.99967813491821
10005,KADAPA,SC,High,1,0.006668599235126749,99.99333620071411
10005,KADAPA,ST,High,1,0.0017997605027630925,99.99819993972778
10005,KADAPA,Overall,High,1,0.0007179979547800031,99.9992847442627
10006,KRISHNA,General,High,1,0.0024056294932961464,99.99759197235107
10006,KRISHNA,OBC,High,1,0.0007143174570956035,99.9992847442627
10006,KRISHNA,SC,High,1,0.0019609784430940636,99.99803304672241
10006,KRISHNA,ST,High,1,0.0036379318771651015,99.9963641166687
10006,KRISHNA,Overall,High,1,0.0006737216153851477,99.99932050704956
10007,KURNOOL,General,High,1,0.06499062874354422,99.93501305580139
10007,KURNOOL,OBC,High,1,0.0009945626516127959,99.99901056289673
10007,KURNOOL,SC,High,1,0.00728961022105068,99.99270439147949
10007,KURNOOL,ST,High,0,91.2901520729065,8.709847927093506
10007,KURNOOL,Overall,High,1,0.0019134462490910664,99.99808073043823
10008,NELLORE,General,High,1,0.46483585610985756,99.53516721725464
10008,NELLORE,OBC,High,1,0.014452752657234669,99.98553991317749
10008,NELLORE,SC,High,1,0.0125163744087331,99.98748302459717
10008,NELLORE,ST,High,1,0.00025696397187857656,99.99973773956299
10008,NELLORE,Overall,High,1,0.011709296086337417,99.98829364776611
10009,PRAKASAM,General,High,1,0.0011982465366600081,99.99879598617554
10009,PRAKASAM,OBC,High,1,0.0008322108442371245,99.99916553497314
10009,PRAKASAM,SC,High,1,0.003292299879831262,99.9967098236084
10009,PRAKASAM,ST,High,1,0.003963023846154101,99.99604225158691
10009,PRAKASAM,Overall,High,1,0.0007134426141419681,99.9992847442627
10010,SRIKAKULAM,General,High,0,80.18529266119003,19.814705848693848
10010,SRIKAKULAM,OBC,High,1,0.007432147685904056,99.99256134033203
10010,SRIKAKULAM,SC,High,1,0.045846408465877175,99.95415210723877
10010,SRIKAKULAM,ST,High,1,0.09263782412745059,99.90736246109009
10010,SRIKAKULAM,Overall,High,1,0.019496235472615808,99.98050332069397
10011,VISAKHAPATNAM,General,High,1,0.004798901500180364,99.9951958656311
10011,VISAKHAPATNAM,OBC,High,1,0.13245106674730778,99.86754059791565
10011,VISAKHAPATNAM,SC,High,1,0.0643811421468854,99.9356210231781
10011,VISAKHAPATNAM,ST,High,1,0.04714371752925217,99.95285272598267
10011,VISAKHAPATNAM,Overall,High,1,0.023797219910193235,99.97619986534119
10012,VIZIANAGARAM,General,High,0,80.18529266119003,19.814705848693848
10012,VIZIANAGARAM,OBC,High,1,0.0071309586928691715,99.99287128448486
10012,VIZIANAGARAM,SC,High,0,66.59475266933441,33.40525031089783
10012,VIZIANAGARAM,ST,High,0,91.2901520729065,8.709847927093506
10012,VIZIANAGARAM,Overall,High,1,0.07414653082378209,99.92585778236389
10013,WESTGODAVARI,General,High,1,0.013370669330470264,99.9866247177124
10013,WESTGODAVARI,OBC,High,1,0.0028336578907328658,99.99716281890869
10013,WESTGODAVARI,SC,High,1,0.0035308137739775702,99.9964714050293
10013,WESTGODAVARI,ST,High,1,0.669145630672574,99.33085441589355
10013,WESTGODAVARI,Overall,High,1,0.0027241436328040436,99.99727010726929
10101,ArunachalPradesh,General,High,1,0.009243638487532735,99.99076128005981
10101,ArunachalPradesh,SC,High,1,0.8273988962173462,99.17260408401489
10101,ArunachalPradesh,ST,High,1,0.20247581414878368,99.79752898216248
10101,ArunachalPradesh,OBC,High,1,0.0012348556992947124,99.99876022338867
10201,BAJALI,General,High,0,80.18529266119003,19.814705848693848
10201,BAJALI,OBC,High,0,82.90987014770508,17.0901358127594
10201,BAJALI,SC,High,0,82.38890618085861,17.61109232902527
10201,BAJALI,ST,High,0,91.2901520729065,8.709847927093506
10201,BAJALI,Overall,High,0,72.41910398006439,27.580899000167847
10202,BAKSA,General,Low,1,1.773777097424656e-08,100.0
10202,BAKSA,OBC,Low,1,9.439560244572931e-09,100.0
10202,BAKSA,SC,Low,1,4.115601522775014e-10,100.0
10202,BAKSA,ST,Low,1,1.031727414613215e-06,100.0
10202,BAKSA,Overall,Low,1,3.1769956110316855e-08,100.0
10203,BARPETA,General,High,1,0.00023716045234323246,99.9997615814209
10203,BARPETA,OBC,High,1,6.005562624977756e-06,99.99998807907104
10203,BARPETA,SC,High,1,1.9505159709609643e-07,100.0
10203,BARPETA,ST,High,1,0.00012160462574684061,99.99988079071045
10203,BARPETA,Overall,High,1,3.744105185887747e-05,99.99996423721313
10204,BISWANATH,General,High,1,0.07264273590408266,99.92735981941223
10204,BISWANATH,OBC,High,1,5.347218348106253e-05,99.99995231628418
10204,BISWANATH,SC,High,1,0.0005311799213814083,99.99946355819702
10204,BISWANATH,ST,High,1,0.0008875526873453055,99.99911785125732
10204,BISWANATH,Overall,High,1,0.00027562844024942024,99.99972581863403
10205,BONGAIGAON,General,High,1,0.0003530277126628789,99.99964237213135
10205,BONGAIGAON,OBC,High,1,0.0005734884325647727,99.99942779541016
10205,BONGAIGAON,SC,High,1,3.1019808943710814e-05,99.99996423721313
10205,BONGAIGAON,ST,High,1,0.01347182405879721,99.98652935028076
10205,BONGAIGAON,Overall,High,1,0.00013348168295124196,99.9998688697815
10206,CACHAR,General,Low,1,0.009937668801285326,99.99005794525146
10206,CACHAR,OBC,Low,1,0.00012596266287800972,99.9998688697815
10206,CACHAR,SC,Low,1,0.0006979367753956467,99.99929666519165
10206,CACHAR,ST,Low,1,22.230157256126404,77.76983976364136
10206,CACHAR,Overall,Low,1,0.0012314418199821375,99.99877214431763
10207,CHARAIDEO,General,Low,0,87.3549535870552,12.645047903060913
10207,CHARAIDEO,OBC,Low,1,0.0011671144420688506,99.9988317489624
10207,CHARAIDEO,SC,Low,1,7.631411449438019e-05,99.99992847442627
10207,CHARAIDEO,ST,Low,1,0.005762455839430913,99.9942421913147
10207,CHARAIDEO,Overall,Low,1,0.002763655356829986,99.99723434448242
10208,CHIRANG,General,High,1,0.00010107180514751235,99.99990463256836
10208,CHIRANG,OBC,High,1,0.03884477191604674,99.96115565299988
10208,CHIRANG,SC,High,1,0.018273040768690407,99.98173117637634
10208,CHIRANG,ST,High,1,0.8032280020415783,99.19677376747131
10208,CHIRANG,Overall,High,1,0.008192667155526578,99.99181032180786
10209,DARRANG,General,High,1,0.006190233398228884,99.99381303787231
10209,DARRANG,OBC,High,1,0.026244443142786622,99.9737560749054
10209,DARRANG,SC,High,1,0.03600576310418546,99.96399879455566
10209,DARRANG,ST,High,1,0.006793110514990985,99.9932050704956
10209,DARRANG,Overall,High,1,0.0032763575291028246,99.99672174453735
10210,DHEMAJI,General,High,1,0.02067634486593306,99.97932314872742
