DNo,Location,Social Category,Income,snr_Boys_socialcat,snr_Boys_income
10001,ANANTAPUR,General,High,0.18398067,99.81602
10001,ANANTAPUR,SC,High,0.021042088,99.97895
10001,ANANTAPUR,ST,High,0.752352,99.24765
10001,ANANTAPUR,Overall,High,1.5321482,98.46785
10002,CHITTOOR,General,High,0.17336021,99.82664
10002,CHITTOOR,SC,High,0.60470116,99.395294
10002,CHITTOOR,ST,High,0.7769126,99.2231
10002,CHITTOOR,Overall,High,0.062975325,99.93703
10003,EASTGODAVARI,General,High,8.490428,91.50958
10003,EASTGODAVARI,OBC,High,21.571499,78.4285
10003,EASTGODAVARI,SC,High,47.99937,52.00063
10003,EASTGODAVARI,ST,High,0.37135085,99.628654
10003,EASTGODAVARI,Overall,High,36.019257,63.98074
10004,GUNTUR,General,High,0.24106863,99.758934
10004,GUNTUR,OBC,High,18.038559,81.96143
10004,GUNTUR,SC,High,4.7569265,95.24307
10004,GUNTUR,ST,High,0.77573276,99.224266
10004,GUNTUR,Overall,High,0.052271616,99.94773
10005,KADAPA,General,High,31.919968,68.08003
10005,KADAPA,OBC,High,1.6766489,98.32335
10005,KADAPA,SC,High,0.5346638,99.46533
10005,KADAPA,ST,High,1.0076765,98.99233
10005,KADAPA,Overall,High,1.5371764,98.46282
10006,KRISHNA,General,High,0.36501917,99.63498
10006,KRISHNA,OBC,High,0.049787007,99.9502
10006,KRISHNA,SC,High,3.1733155,96.82668
10006,KRISHNA,ST,High,2.7214398,97.27856
10006,KRISHNA,Overall,High,0.71398,99.28601
10007,KURNOOL,General,High,43.30639,56.693607
10007,KURNOOL,ST,High,0.69234294,99.307655
10007,KURNOOL,Overall,High,0.2263245,99.77367
10008,NELLORE,General,High,0.17839193,99.82161
10008,NELLORE,OBC,High,1.980561,98.01943
10008,NELLORE,SC,High,0.87382394,99.126175
10008,NELLORE,ST,High,47.922043,52.077953
10008,NELLORE,Overall,High,46.604824,53.395176
10009,PRAKASAM,General,High,0.6718462,99.32815
10009,PRAKASAM,OBC,High,2.9130244,97.086975
10009,PRAKASAM,Overall,High,0.044830516,99.95517
10010,SRIKAKULAM,General,High,19.966183,80.03382
10010,SRIKAKULAM,OBC,High,1.990657,98.00934
10010,SRIKAKULAM,Overall,High,27.042562,72.957436
10011,VISAKHAPATNAM,General,High,2.6159651,97.38403
10011,VISAKHAPATNAM,OBC,High,0.14633156,99.85367
10011,VISAKHAPATNAM,SC,High,10.4874325,89.51257
10011,VISAKHAPATNAM,ST,High,0.2011145,99.79888
10012,VIZIANAGARAM,General,High,0.030646857,99.96935
10012,VIZIANAGARAM,OBC,High,1.7216021,98.278404
10012,VIZIANAGARAM,SC,High,4.5035315,95.49646
10012,VIZIANAGARAM,ST,High,20.556297,79.4437
10012,VIZIANAGARAM,Overall,High,7.8519955,92.148
10013,WESTGODAVARI,General,High,1.3295764,98.670425
10013,WESTGODAVARI,OBC,High,0.15851831,99.84148
10013,WESTGODAVARI,SC,High,7.751149,92.24885
10013,WESTGODAVARI,ST,High,2.774519,97.22549
10013,WESTGODAVARI,Overall,High,3.425245,96.57476
10101,ArunachalPradesh,General,High,0.57834315,99.42165
10101,ArunachalPradesh,OBC,High,16.866247,83.13375
10201,BAJALI,General,High,5.381073,94.618935
10201,BAJALI,OBC,High,0.5621729,99.43783
10201,BAJALI,SC,High,3.00155,96.99844
10201,BAJALI,ST,High,0.24044,99.75956
10201,BAJALI,Overall,High,5.1683793,94.83162
10202,BAKSA,General,Low,0.19021925,99.809784
10202,BAKSA,OBC,Low,3.2628107,96.73719
10202,BAKSA,SC,Low,1.4637456,98.536255
10202,BAKSA,ST,Low,0.11471376,99.885284
10202,BAKSA,Overall,Low,4.375123,95.62488
10203,BARPETA,OBC,High,3.7669427,96.233055
10203,BARPETA,SC,High,16.714394,83.28561
10203,BARPETA,ST,High,24.050144,75.94986
10204,BISWANATH,General,High,0.32837492,99.67162
10204,BISWANATH,OBC,High,0.084363975,99.915634
10204,BISWANATH,SC,High,0.964241,99.03576
10204,BISWANATH,ST,High,1.3337317,98.66627
10205,BONGAIGAON,General,High,0.41984963,99.580154
10205,BONGAIGAON,OBC,High,2.250831,97.74917
10205,BONGAIGAON,ST,High,1.4880674,98.511925
10205,BONGAIGAON,Overall,High,0.60301435,99.39699
10206,CACHAR,General,Low,0.0789486,99.92105
10206,CACHAR,OBC,Low,2.607256,97.39274
10206,CACHAR,SC,Low,14.809229,85.190765
10206,CACHAR,ST,Low,0.08157635,99.91842
10207,CHARAIDEO,General,Low,9.517886,90.48212
10207,CHARAIDEO,OBC,Low,12.22445,87.77554
10207,CHARAIDEO,SC,Low,8.961346,91.03865
10207,CHARAIDEO,ST,Low,22.770508,77.22949
10208,CHIRANG,General,High,16.411655,83.58834
10208,CHIRANG,OBC,High,0.0019153415,99.99808
10208,CHIRANG,SC,High,1.2166938,98.7833
10208,CHIRANG,ST,High,16.49912,83.50088
10208,CHIRANG,Overall,High,8.836705,91.1633
10209,DARRANG,General,High,22.155506,77.84449
10209,DARRANG,OBC,High,19.032143,80.96786
10209,DARRANG,SC,High,1.5617757,98.438225
10209,DARRANG,ST,High,1.0884299,98.91157
10209,DARRANG,Overall,High,0.29617107,99.703835
10210,DHEMAJI,General,High,0.022960652,99.977036
10210,DHEMAJI,OBC,High,1.6192088,98.38078
10210,DHEMAJI,SC,High,0.5174718,99.48254
10210,DHEMAJI,ST,High,7.105834,92.894165
10210,DHEMAJI,Overall,High,2.0714417,97.92855
10211,DHUBRI,General,High,40.54127,59.458733
10211,DHUBRI,SC,High,0.49275392,99.50724
10211,DHUBRI,ST,High,0.2718256,99.728165
10211,DHUBRI,Overall,High,0.92675316,99.07324
10212,DIBRUGARH,General,High,0.31177345,99.68823
10212,DIBRUGARH,ST,High,8.549746,91.45025
10212,DIBRUGARH,Overall,High,49.09549,50.9045
10213,DIMAHASAO,General,High,0.8607735,99.13923
10213,DIMAHASAO,OBC,High,20.85925,79.140755
10213,DIMAHASAO,SC,High,1.3709625,98.629036
10213,DIMAHASAO,ST,High,0.16229346,99.83771
10213,DIMAHASAO,Overall,High,0.27038702,99.729614
10214,GOALPARA,General,High,0.5974839,99.40252
10214,GOALPARA,OBC,High,42.885212,57.11479
10214,GOALPARA,SC,High,34.070972,65.92903
10214,GOALPARA,ST,High,0.52717936,99.472824
10214,GOALPARA,Overall,High,0.4198614,99.58014
10215,GOLAGHAT,General,High,48.726448,51.27355
10215,GOLAGHAT,OBC,High,0.36205742,99.63795
10215,GOLAGHAT,SC,High,0.34428436,99.65572
10215,GOLAGHAT,ST,High,40.268463,59.731537
10215,GOLAGHAT,Overall,High,0.1942586,99.80574
10216,HAILAKANDI,General,High,0.0018125565,99.998184
10216,HAILAKANDI,ST,High,8.732378,91.267624
10216,HAILAKANDI,Overall,High,0.1925675,99.80743
10217,HOJAI,General,High,30.80093,69.199066
10217,HOJAI,OBC,High,8.92379,91.07621
10217,HOJAI,ST,High,12.067106,87.93289
10218,JORHAT,General,High,0.95540005,99.04459
10218,JORHAT,OBC,High,0.9938962,99.0061
10218,JORHAT,SC,High,1.7837484,98.216255
10218,JORHAT,ST,High,3.640949,96.35905
10218,JORHAT,Overall,High,2.254387,97.74561
10219,KAMRUP-METRO,General,High,12.775859,87.22414
10219,KAMRUP-METRO,OBC,High,0.29630768,99.70369
10219,KAMRUP-METRO,SC,High,4.202782,95.79722
10219,KAMRUP-METRO,ST,High,5.0043507,94.99565
10219,KAMRUP-METRO,Overall,High,5.056411,94.94359
10220,KAMRUP-RURAL,General,High,1.8128005,98.1872
10220,KAMRUP-RURAL,OBC,High,2.8392322,97.16077
10220,KAMRUP-RURAL,SC,High,1.0827729,98.91722
10220,KAMRUP-RURAL,ST,High,0.3584948,99.6415
10220,KAMRUP-RURAL,Overall,High,0.19653985,99.80347
10221,KARBIANGLONG,General,High,2.1376061,97.8624
10221,KARBIANGLONG,OBC,High,41.21274,58.78726
10221,KARBIANGLONG,SC,High,4.3441544,95.65584
10221,KARBIANGLONG,ST,High,0.08426255,99.91574
10221,KARBIANGLONG,Overall,High,0.663787,99.336205
10222,KARIMGANJ,General,High,11.415408,88.58459
10222,KARIMGANJ,OBC,High,8.183726e-05,99.999916
10222,KARIMGANJ,SC,High,0.45507407,99.54492
10222,KARIMGANJ,ST,High,2.2599664,97.740036
10222,KARIMGANJ,Overall,High,0.3910717,99.60893
10223,KOKRAJHAR,General,High,0.37069285,99.6293
10223,KOKRAJHAR,OBC,High,1.9910482,98.00896
10223,KOKRAJHAR,SC,High,4.0487022,95.951294
10223,KOKRAJHAR,ST,High,7.6738195,92.32618
10223,KOKRAJHAR,Overall,High,5.560392,94.43961
10224,LAKHIMPUR,General,Low,4.813631,95.18636
10224,LAKHIMPUR,OBC,Low,0.35028547,99.64972
10224,LAKHIMPUR,SC,Low,1.0354025,98.96459
10224,LAKHIMPUR,ST,Low,0.57160395,99.4284
10224,LAKHIMPUR,Overall,Low,39.72038,60.279625
10225,MAJULI,General,Low,2.456821,97.54318
10225,MAJULI,OBC,Low,1.2845396,98.71546
10225,MAJULI,SC,Low,35.59496,64.405045
10225,MAJULI,ST,Low,0.5388101,99.46119
10225,MAJULI,Overall,Low,1.4789284,98.52107
10226,MORIGAON,General,High,0.822129,99.177864
10226,MORIGAON,OBC,High,1.4969472,98.50306
10226,MORIGAON,SC,High,1.3861353,98.61386
10226,MORIGAON,ST,High,1.451895,98.54811
10227,NAGAON,General,High,0.19196825,99.80804
10227,NAGAON,OBC,High,1.6580468,98.34196
10227,NAGAON,SC,High,1.7064085,98.293594
10227,NAGAON,ST,High,29.172192,70.82781
10227,NAGAON,Overall,High,0.62824965,99.37174
10228,NALBARI,OBC,High,4.748841,95.25116
10228,NALBARI,ST,High,0.20981778,99.79018
10228,NALBARI,Overall,High,5.2644277,94.73557
10229,SIBSAGAR,General,High,1.8745892,98.12541
10229,SIBSAGAR,OBC,High,2.0989652,97.90103
10229,SIBSAGAR,SC,High,7.0541725,92.94582
10229,SIBSAGAR,ST,High,0.38556018,99.61444
10229,SIBSAGAR,Overall,High,0.57484615,99.42516
10230,SONITPUR,General,High,0.986896,99.0131
10230,SONITPUR,OBC,High,4.90809,95.09191
10230,SONITPUR,ST,High,0.50547105,99.49454
10230,SONITPUR,Overall,High,5.919827,94.08018
10231,SOUTHSALMARA-MANKACHAR,General,High,0.25004536,99.749954
10231,SOUTHSALMARA-MANKACHAR,SC,High,0.068425186,99.93157
10231,SOUTHSALMARA-MANKACHAR,ST,High,47.626373,52.373623
10231,SOUTHSALMARA-MANKACHAR,Overall,High,5.1972375,94.802765
10232,TAMULPUR,General,High,0.1409283,99.85906
10232,TAMULPUR,OBC,High,2.1665356,97.83346
10232,TAMULPUR,ST,High,1.7129842,98.28702
10233,TINSUKIA,OBC,Low,1.3784419,98.62156
10233,TINSUKIA,SC,Low,0.029468335,99.97053
10233,TINSUKIA,ST,Low,23.549976,76.450035
10233,TINSUKIA,Overall,Low,1.7173668,98.28264
10234,UDALGURI,OBC,High,0.6695077,99.33049
10234,UDALGURI,SC,High,0.5371198,99.46288
10234,UDALGURI,ST,High,0.9215177,99.07849
10234,UDALGURI,Overall,High,5.456908,94.54309
10235,WESTKARBIANGLONG,General,High,1.50011,98.499886
10235,WESTKARBIANGLONG,SC,High,0.7150104,99.284996
10235,WESTKARBIANGLONG,ST,High,1.6713165,98.32869
10235,WESTKARBIANGLONG,Overall,High,1.3078587,98.69215
10301,ARARIA,General,High,1.4198933,98.5801
10301,ARARIA,OBC,High,1.1868607,98.81314
10301,ARARIA,SC,High,2.6017487,97.39825
10301,ARARIA,ST,High,0.5073414,99.49266
10301,ARARIA,Overall,High,1.5327499,98.46725
10302,ARWAL,General,Low,1.0600013,98.939995
10302,ARWAL,OBC,Low,1.7242253,98.27577
10302,ARWAL,ST,Low,1.0528729,98.94713
10302,ARWAL,Overall,Low,5.7539797,94.24602
10303,AURANGABAD(BIHAR),General,Low,18.52879,81.471214
10303,AURANGABAD(BIHAR),OBC,Low,0.001184349,99.99882
10303,AURANGABAD(BIHAR),SC,Low,3.4594753,96.54052
10303,AURANGABAD(BIHAR),ST,Low,0.14837797,99.85162
10303,AURANGABAD(BIHAR),Overall,Low,1.1276894,98.872314
10304,BANKA,General,High,1.4764723,98.52352
10304,BANKA,OBC,High,32.14637,67.85362
10304,BANKA,SC,High,0.08851966,99.91148
10304,BANKA,Overall,High,2.60444,97.39556
10305,BEGUSARAI,General,High,0.53250396,99.46749
10305,BEGUSARAI,OBC,High,13.415583,86.58441
10305,BEGUSARAI,SC,High,0.036228966,99.963776
10305,BEGUSARAI,ST,High,15.784605,84.21539
10305,BEGUSARAI,Overall,High,1.0037172,98.99628
10306,BHAGALPUR,General,Low,1.1934991,98.8065
10306,BHAGALPUR,OBC,Low,1.2227112,98.77729
10306,BHAGALPUR,SC,Low,0.1275921,99.872406
10306,BHAGALPUR,ST,Low,5.8261385,94.17386
10306,BHAGALPUR,Overall,Low,3.5470285,96.45297
10307,BHOJPUR,General,Low,1.0524914,98.94751
10307,BHOJPUR,SC,Low,6.3398457,93.66015
10307,BHOJPUR,Overall,Low,0.25986665,99.740135
10308,BUXAR,General,High,8.126849,91.873146
10308,BUXAR,OBC,High,1.7189867,98.28101
10308,BUXAR,ST,High,3.426491,96.57352
10308,BUXAR,Overall,High,3.4245691,96.57543
10309,DARBHANGA,General,High,16.489674,83.51033
10309,DARBHANGA,OBC,High,0.75693786,99.243065
10309,DARBHANGA,SC,High,32.375748,67.62426
10309,DARBHANGA,ST,High,2.7946885,97.20531
