DNo,Location,Social Category,Income,snr_Girls_socialcat,snr_Girls_income
10001,ANANTAPUR,General,High,0.039472222,99.96053
10001,ANANTAPUR,SC,High,0.021028493,99.97898
10001,ANANTAPUR,ST,High,0.5394275,99.46057
10001,ANANTAPUR,Overall,High,2.1334713,97.86653
10002,CHITTOOR,General,High,0.14813754,99.85187
10002,CHITTOOR,SC,High,0.42000315,99.579994
10002,CHITTOOR,ST,High,1.1898035,98.810196
10002,CHITTOOR,Overall,High,0.16437161,99.835625
10003,EASTGODAVARI,General,High,9.41864,90.58136
10003,EASTGODAVARI,OBC,High,34.389538,65.61046
10003,EASTGODAVARI,ST,High,0.21721739,99.78278
10004,GUNTUR,General,High,0.20523953,99.79476
10004,GUNTUR,OBC,High,20.386782,79.61321
10004,GUNTUR,SC,High,0.82549083,99.17451
10004,GUNTUR,ST,High,0.23222037,99.767784
10004,GUNTUR,Overall,High,0.013920135,99.98608
10005,KADAPA,General,High,37.95884,62.041153
10005,KADAPA,OBC,High,1.1065603,98.89343
10005,KADAPA,SC,High,0.6100701,99.38992
10005,KADAPA,ST,High,0.24285214,99.75714
10005,KADAPA,Overall,High,0.582942,99.41706
10006,KRISHNA,General,High,0.22971925,99.77028
10006,KRISHNA,OBC,High,0.034676034,99.965324
10006,KRISHNA,SC,High,1.4083303,98.59167
10006,KRISHNA,ST,High,1.3566062,98.6434
10006,KRISHNA,Overall,High,0.3030858,99.696915
10007,KURNOOL,ST,High,0.67509085,99.324905
10007,KURNOOL,Overall,High,0.19069305,99.8093
10008,NELLORE,General,High,0.102838725,99.897156
10008,NELLORE,OBC,High,0.94881284,99.051186
10008,NELLORE,SC,High,1.1524618,98.847534
10009,PRAKASAM,General,High,0.58624244,99.41375
10009,PRAKASAM,OBC,High,2.1348872,97.86511
10009,PRAKASAM,SC,High,36.122658,63.87733
10009,PRAKASAM,Overall,High,0.010209655,99.989784
10010,SRIKAKULAM,General,High,18.533442,81.46655
10010,SRIKAKULAM,OBC,High,1.9956436,98.00436
10010,SRIKAKULAM,Overall,High,12.58537,87.414635
10011,VISAKHAPATNAM,General,High,1.8351307,98.16487
10011,VISAKHAPATNAM,OBC,High,0.058159146,99.94184
10011,VISAKHAPATNAM,SC,High,38.687378,61.312622
10011,VISAKHAPATNAM,ST,High,0.15456311,99.845436
10012,VIZIANAGARAM,General,High,0.028893134,99.97111
10012,VIZIANAGARAM,OBC,High,21.25079,78.74921
10012,VIZIANAGARAM,SC,High,3.3099194,96.69008
10012,VIZIANAGARAM,ST,High,10.679198,89.3208
10012,VIZIANAGARAM,Overall,High,3.0706332,96.929375
10013,WESTGODAVARI,General,High,1.8570592,98.14294
10013,WESTGODAVARI,OBC,High,0.019943304,99.980064
10013,WESTGODAVARI,SC,High,6.239377,93.76062
10013,WESTGODAVARI,ST,High,3.4192953,96.58071
10013,WESTGODAVARI,Overall,High,4.5074544,95.492546
10101,ArunachalPradesh,General,High,0.19955589,99.80045
10101,ArunachalPradesh,OBC,High,12.282117,87.71789
10201,BAJALI,General,High,2.522119,97.477875
10201,BAJALI,OBC,High,0.4823945,99.51761
10201,BAJALI,SC,High,4.6293426,95.37065
10201,BAJALI,ST,High,0.20701627,99.792984
10201,BAJALI,Overall,High,5.7149434,94.285065
10202,BAKSA,General,Low,0.27390435,99.72609
10202,BAKSA,OBC,Low,1.7892987,98.2107
10202,BAKSA,SC,Low,0.6702749,99.32973
10202,BAKSA,ST,Low,0.111306764,99.8887
10202,BAKSA,Overall,Low,11.147256,88.852745
10203,BARPETA,OBC,High,2.4204805,97.57952
10203,BARPETA,SC,High,10.59199,89.40801
10203,BARPETA,ST,High,33.049267,66.95073
10204,BISWANATH,General,High,0.22433686,99.775665
10204,BISWANATH,OBC,High,0.030855246,99.96915
10204,BISWANATH,SC,High,3.5227208,96.47728
10204,BISWANATH,ST,High,1.1323423,98.86765
10205,BONGAIGAON,General,High,0.08801877,99.91198
10205,BONGAIGAON,OBC,High,0.9893205,99.01068
10205,BONGAIGAON,ST,High,0.6848313,99.31517
10205,BONGAIGAON,Overall,High,0.39452812,99.60547
10206,CACHAR,General,Low,0.036633857,99.96336
10206,CACHAR,OBC,Low,1.4806635,98.51933
10206,CACHAR,SC,Low,20.796864,79.20314
10206,CACHAR,ST,Low,0.056841366,99.94315
