DNo,Location,Social Category,Income,dropout,snr_Overall_social_category,snr_Overall_income
10001,ANANTAPUR,General,High,1,0.00041780449464567937,99.99958276748657
10001,ANANTAPUR,OBC,High,0,80.89867830276489,19.101321697235107
10001,ANANTAPUR,SC,High,1,5.154956017605627e-07,100.0
10001,ANANTAPUR,ST,High,1,0.025284854928031564,99.9747097492218
10001,ANANTAPUR,Overall,High,1,0.08105565211735666,99.91894364356995
10002,CHITTOOR,General,High,1,0.0003888647825078806,99.99960660934448
10002,CHITTOOR,OBC,High,0,52.4506151676178,47.5493848323822
10002,CHITTOOR,SC,High,1,0.00666719424771145,99.99333620071411
10002,CHITTOOR,ST,High,1,0.007825425564078614,99.99217987060547
10002,CHITTOOR,Overall,High,1,1.7056411394378301e-06,100.0
10003,EASTGODAVARI,General,High,1,0.6267092656344175,99.37328696250916
10003,EASTGODAVARI,OBC,High,1,1.576884277164936,98.4231173992157
10003,EASTGODAVARI,SC,High,0,63.338202238082886,36.66180372238159
10003,EASTGODAVARI,ST,High,1,0.00017560338392286212,99.99982118606567
10003,EASTGODAVARI,Overall,High,1,23.736754059791565,76.26324892044067
10004,GUNTUR,General,High,1,0.0003377605935384054,99.99966621398926
10004,GUNTUR,OBC,High,1,2.144937962293625,97.8550672531128
10004,GUNTUR,SC,High,1,0.05173540557734668,99.94826316833496
10004,GUNTUR,ST,High,1,0.002404514634690713,99.99759197235107
10004,GUNTUR,Overall,High,1,2.970765251575358e-05,99.99997615814209
10005,KADAPA,General,High,1,24.438057839870453,75.56194067001343
10005,KADAPA,OBC,High,1,0.04510317521635443,99.95489716529846
10005,KADAPA,SC,High,1,0.010058836778625846,99.98993873596191
10005,KADAPA,ST,High,1,0.0020948766177752987,99.9979019165039
10005,KADAPA,Overall,High,1,0.050917157204821706,99.94908571243286
10006,KRISHNA,General,High,1,0.00029868033379898407,99.99970197677612
10006,KRISHNA,OBC,High,1,6.773369705115329e-05,99.99992847442627
10006,KRISHNA,SC,High,1,0.09980330942198634,99.90020394325256
10006,KRISHNA,ST,High,1,0.1312731415964663,99.86873269081116
10006,KRISHNA,Overall,High,1,0.0037151083233766258,99.99628067016602
10007,KURNOOL,General,High,1,13.187658786773682,86.81234121322632
10007,KURNOOL,OBC,High,0,88.16307261586189,11.836928129196167
10007,KURNOOL,SC,High,0,61.363184452056885,38.63680958747864
10007,KURNOOL,ST,High,1,0.003837876647594385,99.99616146087646
10007,KURNOOL,Overall,High,1,0.0009628995030652732,99.99903440475464
10008,NELLORE,General,High,1,0.00022439924123318633,99.99977350234985
10008,NELLORE,OBC,High,1,0.03941705508623272,99.96058344841003
10008,NELLORE,SC,High,1,0.012091857934137806,99.98791217803955
10008,NELLORE,ST,High,0,61.54126524925232,38.45873475074768
10008,NELLORE,Overall,High,0,58.33219885826111,41.66780114173889
10009,PRAKASAM,General,High,1,0.018676297622732818,99.98132586479187
10009,PRAKASAM,OBC,High,1,0.24391342885792255,99.75608587265015
10009,PRAKASAM,SC,High,0,88.1630651652813,11.836934089660645
10009,PRAKASAM,ST,High,0,80.89867830276489,19.101321697235107
10009,PRAKASAM,Overall,High,1,8.129351414254415e-07,100.0
10010,SRIKAKULAM,General,High,1,3.5050444304943085,96.49496078491211
10010,SRIKAKULAM,OBC,High,1,0.1728425151668489,99.82715845108032
10010,SRIKAKULAM,SC,High,0,91.22512117028236,8.774876594543457
10010,SRIKAKULAM,ST,High,0,88.95367830991745,11.04632019996643
10010,SRIKAKULAM,Overall,High,1,16.34833514690399,83.65166187286377
