DNo,Location,Social Category,Income,snr_Overall_socialcat,snr_Overall_income
10001,ANANTAPUR,General,High,0.060936272,99.93906
10001,ANANTAPUR,OBC,High,49.890495,50.109505
10001,ANANTAPUR,SC,High,0.06734228,99.932655
10001,ANANTAPUR,ST,High,0.2548865,99.74511
10001,ANANTAPUR,Overall,High,0.7724048,99.2276
10002,CHITTOOR,General,High,0.19902033,99.80099
10002,CHITTOOR,OBC,High,42.285587,57.71441
10002,CHITTOOR,SC,High,0.60249215,99.39751
10002,CHITTOOR,ST,High,0.7792908,99.22071
10002,CHITTOOR,Overall,High,0.121502616,99.878494
10003,EASTGODAVARI,General,High,2.1176896,97.88231
10003,EASTGODAVARI,OBC,High,25.131598,74.86841
10003,EASTGODAVARI,SC,High,31.370026,68.62998
10003,EASTGODAVARI,ST,High,0.29861346,99.70138
10003,EASTGODAVARI,Overall,High,22.640804,77.35919
10004,GUNTUR,General,High,0.37765688,99.622345
10004,GUNTUR,OBC,High,7.0580816,92.941925
10004,GUNTUR,SC,High,1.1270696,98.87293
10004,GUNTUR,ST,High,0.43246388,99.567535
10004,GUNTUR,Overall,High,0.07618807,99.92381
10005,KADAPA,General,High,8.801082,91.19892
10005,KADAPA,OBC,High,0.5932669,99.40673
10005,KADAPA,SC,High,0.30871612,99.691284
10005,KADAPA,ST,High,0.5401482,99.459854
10005,KADAPA,Overall,High,0.49379408,99.5062
10006,KRISHNA,General,High,0.35454988,99.64545
10006,KRISHNA,OBC,High,0.09036233,99.90964
10006,KRISHNA,SC,High,0.89254946,99.10745
10006,KRISHNA,ST,High,0.9159881,99.084015
10006,KRISHNA,Overall,High,0.5449371,99.45506
10007,KURNOOL,General,High,23.401173,76.59883
10007,KURNOOL,SC,High,23.132,76.868004
10007,KURNOOL,ST,High,0.5389509,99.46105
10007,KURNOOL,Overall,High,0.20272261,99.79728
10008,NELLORE,General,High,0.16429275,99.8357
10008,NELLORE,OBC,High,1.2136734,98.78633
10008,NELLORE,SC,High,0.40185717,99.598145
10008,NELLORE,ST,High,25.198,74.802
10008,NELLORE,Overall,High,17.683077,82.316925
10009,PRAKASAM,General,High,0.49202922,99.50797
10009,PRAKASAM,OBC,High,0.607274,99.39272
10009,PRAKASAM,SC,High,36.62318,63.37682
10009,PRAKASAM,ST,High,43.2734,56.7266
10009,PRAKASAM,Overall,High,0.07455229,99.92544
10010,SRIKAKULAM,General,High,3.8171482,96.18286
10010,SRIKAKULAM,OBC,High,1.0185312,98.98146
10010,SRIKAKULAM,Overall,High,16.036753,83.96325
10011,VISAKHAPATNAM,General,High,0.93463707,99.06536
10011,VISAKHAPATNAM,OBC,High,0.088632494,99.91136
10011,VISAKHAPATNAM,SC,High,17.914944,82.08505
10011,VISAKHAPATNAM,ST,High,0.2610566,99.73895
10011,VISAKHAPATNAM,Overall,High,38.284355,61.715645
10012,VIZIANAGARAM,General,High,0.096407995,99.903595
10012,VIZIANAGARAM,OBC,High,2.4028077,97.59719
10012,VIZIANAGARAM,SC,High,1.2684028,98.7316
10012,VIZIANAGARAM,ST,High,2.4846892,97.51531
10012,VIZIANAGARAM,Overall,High,1.75286,98.24714
10013,WESTGODAVARI,General,High,0.4222764,99.57773
10013,WESTGODAVARI,OBC,High,0.18434726,99.81565
10013,WESTGODAVARI,SC,High,1.2031093,98.79689
10013,WESTGODAVARI,ST,High,1.962768,98.03724
10013,WESTGODAVARI,Overall,High,1.7985815,98.20142
10101,ArunachalPradesh,General,High,0.35490102,99.6451
10101,ArunachalPradesh,OBC,High,7.08021,92.91979
10201,BAJALI,General,High,1.0811511,98.918846
10201,BAJALI,OBC,High,0.6041924,99.39581
10201,BAJALI,SC,High,1.361842,98.63815
10201,BAJALI,ST,High,0.20501816,99.794975
10201,BAJALI,Overall,High,1.5808493,98.41915
10202,BAKSA,General,Low,0.28613272,99.713875
10202,BAKSA,OBC,Low,1.1161804,98.88382
10202,BAKSA,SC,Low,0.3256013,99.67439
10202,BAKSA,ST,Low,0.19418216,99.80582
10202,BAKSA,Overall,Low,3.474842,96.52516
10203,BARPETA,OBC,High,1.447235,98.552765
10203,BARPETA,SC,High,3.7618651,96.238144
10203,BARPETA,ST,High,23.71183,76.28818
10203,BARPETA,Overall,High,15.712929,84.28708
10204,BISWANATH,General,High,0.124720275,99.87528
10204,BISWANATH,OBC,High,0.06732987,99.93267
10204,BISWANATH,SC,High,1.1548572,98.845146
10204,BISWANATH,ST,High,0.57075745,99.42925
10205,BONGAIGAON,General,High,0.18063182,99.81937
10205,BONGAIGAON,OBC,High,0.70535654,99.29465
10205,BONGAIGAON,SC,High,38.284355,61.715645
10205,BONGAIGAON,ST,High,0.5649653,99.435036
10205,BONGAIGAON,Overall,High,0.42441496,99.575584
10206,CACHAR,General,Low,0.06841032,99.93159
