DNo,Location,Social Category,Income,upPrim_Boys_socialcat,upPrim_Boys_income
10001,ANANTAPUR,General,High,3.59088,96.40913
10001,ANANTAPUR,SC,High,0.8777731,99.12222
10001,ANANTAPUR,ST,High,16.369738,83.630264
10001,ANANTAPUR,Overall,High,26.850193,73.1498
10002,CHITTOOR,General,High,1.1904438,98.809555
10002,CHITTOOR,SC,High,0.725822,99.27417
10002,CHITTOOR,ST,High,1.7431087,98.25689
10002,CHITTOOR,Overall,High,47.790085,52.209908
10003,EASTGODAVARI,OBC,High,1.3301271,98.669876
10003,EASTGODAVARI,ST,High,0.37566665,99.62434
10004,GUNTUR,General,High,1.3688911,98.6311
10004,GUNTUR,SC,High,13.793993,86.20601
10004,GUNTUR,ST,High,14.325811,85.67419
10004,GUNTUR,Overall,High,3.8818784,96.118126
10005,KADAPA,SC,High,7.5925665,92.40743
10005,KADAPA,ST,High,4.9897118,95.01029
10005,KADAPA,Overall,High,4.8466825,95.15332
10006,KRISHNA,General,High,0.5673482,99.432655
10006,KRISHNA,OBC,High,1.0691736,98.93083
10006,KRISHNA,ST,High,2.413,97.587
10006,KRISHNA,Overall,High,0.9394911,99.06051
10007,KURNOOL,ST,High,4.3831697,95.61683
10007,KURNOOL,Overall,High,1.9246062,98.07539
10008,NELLORE,OBC,High,3.071591,96.928406
10009,PRAKASAM,General,High,1.6656494,98.33435
10009,PRAKASAM,OBC,High,7.0290356,92.97096
10009,PRAKASAM,SC,High,1.3247694,98.675224
10009,PRAKASAM,ST,High,10.75648,89.24352
10009,PRAKASAM,Overall,High,1.5816728,98.41833
10010,SRIKAKULAM,OBC,High,3.50826,96.491745
10010,SRIKAKULAM,Overall,High,18.617748,81.38225
10011,VISAKHAPATNAM,General,High,46.99419,53.00581
10011,VISAKHAPATNAM,OBC,High,3.017155,96.98285
10011,VISAKHAPATNAM,SC,High,18.455956,81.544044
10011,VISAKHAPATNAM,ST,High,0.5724753,99.42753
10012,VIZIANAGARAM,General,High,0.65911955,99.34088
10013,WESTGODAVARI,General,High,5.5892296,94.41077
10013,WESTGODAVARI,OBC,High,7.5181937,92.481804
10013,WESTGODAVARI,ST,High,1.3174826,98.68252
10013,WESTGODAVARI,Overall,High,6.767947,93.232056
10101,ArunachalPradesh,General,High,0.7466232,99.25338
10101,ArunachalPradesh,OBC,High,16.073559,83.92644
10201,BAJALI,OBC,High,0.96527106,99.03473
10201,BAJALI,Overall,High,38.396095,61.603905
10202,BAKSA,General,Low,0.6810725,99.31893
