DNo,Location,Social Category,Income,dropout,upPrim_Girls_social_category,upPrim_Girls_income
10001,ANANTAPUR,General,High,0,78.3909946680069,21.609002351760864
10001,ANANTAPUR,OBC,High,1,6.006937474012375,93.99306178092957
10001,ANANTAPUR,SC,High,1,31.77204132080078,68.22795867919922
10001,ANANTAPUR,ST,High,1,11.689948290586472,88.31005096435547
10001,ANANTAPUR,Overall,High,1,16.318713128566742,83.68128538131714
10002,CHITTOOR,General,High,0,78.3909946680069,21.609002351760864
10002,CHITTOOR,OBC,High,0,75.2435564994812,24.756449460983276
10002,CHITTOOR,SC,High,1,42.24016070365906,57.75983929634094
10002,CHITTOOR,ST,High,1,0.612974027171731,99.38702583312988
10002,CHITTOOR,Overall,High,0,61.575666069984436,38.4243369102478
10003,EASTGODAVARI,General,High,0,66.15073084831238,33.8492751121521
10003,EASTGODAVARI,OBC,High,0,58.482152223587036,41.51785373687744
10003,EASTGODAVARI,SC,High,1,34.36089754104614,65.63910245895386
10003,EASTGODAVARI,ST,High,1,0.20878249779343605,99.79121088981628
10003,EASTGODAVARI,Overall,High,1,33.58456790447235,66.41543507575989
10004,GUNTUR,General,High,1,47.109562158584595,52.89044380187988
10004,GUNTUR,OBC,High,1,13.616526126861572,86.3834798336029
10004,GUNTUR,SC,High,1,28.263413906097412,71.73658609390259
10004,GUNTUR,ST,High,1,0.1374581945128739,99.862539768219
10004,GUNTUR,Overall,High,1,12.430104613304138,87.5698983669281
10005,KADAPA,General,High,0,78.3909946680069,21.609002351760864
10005,KADAPA,OBC,High,1,0.5046057980507612,99.49539303779602
10005,KADAPA,SC,High,1,12.083230167627335,87.91676759719849
10005,KADAPA,ST,High,1,0.10160227539017797,99.89839196205139
10005,KADAPA,Overall,High,1,7.442125678062439,92.55787134170532
10006,KRISHNA,General,High,0,78.3909946680069,21.609002351760864
10006,KRISHNA,OBC,High,0,79.61528301239014,20.38472294807434
10006,KRISHNA,SC,High,0,74.8619556427002,25.138044357299805
10006,KRISHNA,ST,High,1,1.5102607198059559,98.48973155021667
10006,KRISHNA,Overall,High,0,72.57311046123505,27.426892518997192
10007,KURNOOL,General,High,0,78.39099615812302,21.609002351760864
10007,KURNOOL,OBC,High,1,0.33296027686446905,99.66704249382019
10007,KURNOOL,SC,High,1,0.9383229538798332,99.06167387962341
10007,KURNOOL,ST,High,1,0.10618951637297869,99.89381432533264
10007,KURNOOL,Overall,High,1,0.4121079109609127,99.58789348602295
10008,NELLORE,General,High,0,78.3909946680069,21.609002351760864
10008,NELLORE,OBC,High,1,29.016903042793274,70.98309993743896
10008,NELLORE,SC,High,1,36.65715754032135,63.34284543991089
10008,NELLORE,ST,High,1,0.00869770665303804,99.9912977218628
10008,NELLORE,Overall,High,1,3.106595203280449,96.89341187477112
10009,PRAKASAM,General,High,0,58.71918499469757,41.28081798553467
10009,PRAKASAM,OBC,High,1,9.121338278055191,90.87866544723511
10009,PRAKASAM,SC,High,1,2.320539951324463,97.67946600914001
10009,PRAKASAM,ST,High,1,0.019757139671128243,99.98024106025696
10009,PRAKASAM,Overall,High,1,3.2611504197120667,96.73885107040405
10010,SRIKAKULAM,General,High,0,78.3909946680069,21.609002351760864
10010,SRIKAKULAM,OBC,High,0,75.55366903543472,24.44632649421692
10010,SRIKAKULAM,SC,High,1,0.6961781065911055,99.30382370948792
10010,SRIKAKULAM,ST,High,0,59.07509922981262,40.9248948097229
10010,SRIKAKULAM,Overall,High,0,59.9818617105484,40.01813530921936
10011,VISAKHAPATNAM,General,High,1,0.7453285623341799,99.25467371940613
10011,VISAKHAPATNAM,OBC,High,0,79.61528301239014,20.38472294807434
10011,VISAKHAPATNAM,SC,High,0,78.72750461101532,21.27249240875244
