DNo,Location,Social Category,Income,upPrim_Girls_socialcat,upPrim_Girls_income
10001,ANANTAPUR,General,High,2.2533305,97.746666
10001,ANANTAPUR,SC,High,1.3782707,98.62173
10001,ANANTAPUR,ST,High,3.8217325,96.17827
10001,ANANTAPUR,Overall,High,7.9886293,92.011375
10002,CHITTOOR,General,High,1.6138458,98.386154
10002,CHITTOOR,OBC,High,36.53106,63.468933
10002,CHITTOOR,SC,High,0.849014,99.15099
10002,CHITTOOR,ST,High,1.0444466,98.95555
10003,EASTGODAVARI,OBC,High,1.6033418,98.39665
10003,EASTGODAVARI,ST,High,0.4782945,99.521706
10004,GUNTUR,General,High,0.75619453,99.243805
10004,GUNTUR,SC,High,8.699246,91.30075
10004,GUNTUR,ST,High,3.1241803,96.875824
10004,GUNTUR,Overall,High,2.1343062,97.86569
10005,KADAPA,General,High,46.638393,53.361607
10005,KADAPA,SC,High,2.2861426,97.71387
10005,KADAPA,ST,High,0.80759984,99.1924
10005,KADAPA,Overall,High,1.8820176,98.11798
10006,KRISHNA,General,High,0.90244234,99.09756
10006,KRISHNA,OBC,High,1.1333677,98.86663
10006,KRISHNA,SC,High,43.522106,56.477894
10006,KRISHNA,ST,High,1.9691478,98.03085
10006,KRISHNA,Overall,High,1.0413232,98.95867
10007,KURNOOL,OBC,High,8.620873,91.37913
10007,KURNOOL,ST,High,2.8716807,97.12832
10007,KURNOOL,Overall,High,1.8307891,98.169205
10008,NELLORE,OBC,High,1.2214352,98.77857
10008,NELLORE,ST,High,33.894047,66.10596
10009,PRAKASAM,General,High,1.1568953,98.84311
10009,PRAKASAM,OBC,High,2.50162,97.498375
10009,PRAKASAM,SC,High,1.1290703,98.870926
10009,PRAKASAM,ST,High,13.090928,86.90907
10009,PRAKASAM,Overall,High,0.4493851,99.55061
10010,SRIKAKULAM,OBC,High,1.7151829,98.28482
10010,SRIKAKULAM,Overall,High,7.059954,92.94005
10011,VISAKHAPATNAM,OBC,High,1.5378175,98.46219
10011,VISAKHAPATNAM,SC,High,2.2755008,97.724495
10011,VISAKHAPATNAM,ST,High,0.89514136,99.10486
10012,VIZIANAGARAM,General,High,0.95106745,99.048935
10013,WESTGODAVARI,General,High,2.0771644,97.92284
10013,WESTGODAVARI,OBC,High,1.5513891,98.44861
10013,WESTGODAVARI,ST,High,1.2027903,98.79721
10013,WESTGODAVARI,Overall,High,2.0122252,97.98778
10101,ArunachalPradesh,General,High,0.6506584,99.349335
10101,ArunachalPradesh,OBC,High,2.7876337,97.21237
10201,BAJALI,OBC,High,0.7171951,99.28281
10201,BAJALI,SC,High,15.215821,84.78418
10201,BAJALI,Overall,High,23.70308,76.29692
10202,BAKSA,General,Low,1.0166769,98.98332
10202,BAKSA,OBC,Low,0.5663161,99.43368
10202,BAKSA,SC,Low,1.4522355,98.54776
10202,BAKSA,ST,Low,0.8756565,99.12435
10202,BAKSA,Overall,Low,2.5997064,97.40029
10203,BARPETA,General,High,28.141657,71.858345
10203,BARPETA,OBC,High,2.4327903,97.56721
10203,BARPETA,ST,High,30.718262,69.28174
10204,BISWANATH,OBC,High,3.132993,96.867004
10204,BISWANATH,SC,High,1.6793834,98.32062
10204,BISWANATH,ST,High,2.8549886,97.14501
10205,BONGAIGAON,General,High,43.11882,56.881184
10205,BONGAIGAON,OBC,High,25.250116,74.74988
10205,BONGAIGAON,ST,High,35.588776,64.41123
10205,BONGAIGAON,Overall,High,0.5696963,99.43031
10206,CACHAR,OBC,Low,33.91834,66.08166
10206,CACHAR,SC,Low,9.2998085,90.700195
10206,CACHAR,ST,Low,0.933672,99.06633
10207,CHARAIDEO,Overall,Low,3.8649547,96.13505
10208,CHIRANG,OBC,High,11.905897,88.09411
10208,CHIRANG,SC,High,4.653415,95.34659
10208,CHIRANG,Overall,High,1.397633,98.60236
10209,DARRANG,SC,High,6.740681,93.25932
10209,DARRANG,Overall,High,2.007043,97.992966
10210,DHEMAJI,OBC,High,1.1281669,98.87184
10210,DHEMAJI,SC,High,14.627883,85.37212
10210,DHEMAJI,ST,High,1.931812,98.06819
10210,DHEMAJI,Overall,High,11.368021,88.63197
10211,DHUBRI,SC,High,2.1341114,97.86589
10211,DHUBRI,ST,High,4.459951,95.54005
10211,DHUBRI,Overall,High,0.53317577,99.46682
10212,DIBRUGARH,General,High,0.7677782,99.23222
