DNo,Location,Social Category,Income,dropout,upPrim_Overall_social_category,upPrim_Overall_income
10001,ANANTAPUR,General,High,0,64.43808972835541,35.56191325187683
10001,ANANTAPUR,OBC,High,1,8.31664353609085,91.68335795402527
10001,ANANTAPUR,SC,High,1,17.988061904907227,82.0119321346283
10001,ANANTAPUR,ST,High,1,8.376932144165039,91.62307381629944
10001,ANANTAPUR,Overall,High,1,12.46754676103592,87.5324547290802
10002,CHITTOOR,General,High,0,64.43808972835541,35.56191325187683
10002,CHITTOOR,OBC,High,0,61.55651807785034,38.44348192214966
10002,CHITTOOR,SC,High,1,40.229204297065735,59.770798683166504
10002,CHITTOOR,ST,High,1,0.9001748636364937,99.09982681274414
10002,CHITTOOR,Overall,High,1,44.121602177619934,55.87840676307678
10003,EASTGODAVARI,General,High,1,35.69999039173126,64.30000066757202
10003,EASTGODAVARI,OBC,High,1,37.98251748085022,62.0174765586853
10003,EASTGODAVARI,SC,High,1,24.776732921600342,75.22327303886414
10003,EASTGODAVARI,ST,High,1,0.17281494801864028,99.82718229293823
10003,EASTGODAVARI,Overall,High,1,18.532569706439972,81.46742582321167
10004,GUNTUR,General,High,1,40.34118354320526,59.658825397491455
10004,GUNTUR,OBC,High,1,18.790696561336517,81.20930194854736
10004,GUNTUR,SC,High,1,23.646439611911774,76.35355591773987
10004,GUNTUR,ST,High,1,0.2746887970715761,99.72531199455261
10004,GUNTUR,Overall,High,1,14.782778918743134,85.21722555160522
10005,KADAPA,General,High,0,64.43808972835541,35.56191325187683
10005,KADAPA,OBC,High,1,0.6535294465720654,99.34646487236023
10005,KADAPA,SC,High,1,11.81563287973404,88.1843626499176
10005,KADAPA,ST,High,1,0.5848698783665895,99.41512942314148
10005,KADAPA,Overall,High,1,6.9015830755233765,93.09841990470886
10006,KRISHNA,General,High,0,64.43808972835541,35.56191325187683
10006,KRISHNA,OBC,High,0,65.27031362056732,34.72968339920044
10006,KRISHNA,SC,High,1,32.011574506759644,67.98841953277588
10006,KRISHNA,ST,High,1,1.126192044466734,98.87380599975586
10006,KRISHNA,Overall,High,0,53.02349030971527,46.97650671005249
10007,KURNOOL,General,High,0,64.43808972835541,35.56191325187683
10007,KURNOOL,OBC,High,1,0.29647352639585733,99.7035264968872
10007,KURNOOL,SC,High,1,2.1174630150198936,97.88253903388977
10007,KURNOOL,ST,High,1,1.1504092253744602,98.8495945930481
10007,KURNOOL,Overall,High,1,0.7386214565485716,99.26137924194336
10008,NELLORE,General,High,0,64.43808972835541,35.56191325187683
10008,NELLORE,OBC,High,1,29.73545491695404,70.2645480632782
10008,NELLORE,SC,High,1,19.877883791923523,80.12211918830872
10008,NELLORE,ST,High,1,0.0017500387912150472,99.9982476234436
