DNo,Location,Social Category,Income,upPrim_Overall_socialcat,upPrim_Overall_income
10001,ANANTAPUR,General,High,0.72669697,99.2733
10001,ANANTAPUR,SC,High,0.16597235,99.83402
10001,ANANTAPUR,ST,High,2.2622802,97.737724
10001,ANANTAPUR,Overall,High,9.225224,90.77478
10002,CHITTOOR,General,High,0.41206837,99.58793
10002,CHITTOOR,OBC,High,42.186646,57.81335
10002,CHITTOOR,SC,High,0.3198326,99.68016
10002,CHITTOOR,ST,High,0.24303429,99.756966
10003,EASTGODAVARI,OBC,High,0.34668368,99.65331
10003,EASTGODAVARI,ST,High,0.15073983,99.84926
10004,GUNTUR,General,High,0.26164287,99.73835
10004,GUNTUR,SC,High,7.7170305,92.282974
10004,GUNTUR,ST,High,1.5358237,98.46417
10004,GUNTUR,Overall,High,0.46288258,99.53712
10005,KADAPA,SC,High,1.1245621,98.87544
10005,KADAPA,ST,High,0.2549998,99.744995
10005,KADAPA,Overall,High,0.8330309,99.16696
10006,KRISHNA,General,High,0.19473113,99.805275
10006,KRISHNA,OBC,High,0.39098975,99.60901
10006,KRISHNA,ST,High,0.9329693,99.06703
10006,KRISHNA,Overall,High,0.6268569,99.373146
10007,KURNOOL,OBC,High,9.473416,90.52659
10007,KURNOOL,ST,High,2.3394341,97.66057
10007,KURNOOL,Overall,High,0.53170323,99.4683
10008,NELLORE,OBC,High,2.6074593,97.39253
10009,PRAKASAM,General,High,0.31049144,99.68951
10009,PRAKASAM,OBC,High,1.7391791,98.26082
10009,PRAKASAM,SC,High,0.23933437,99.760666
10009,PRAKASAM,ST,High,7.8465753,92.15343
10009,PRAKASAM,Overall,High,0.25050905,99.7495
10010,SRIKAKULAM,OBC,High,1.0292556,98.97075
10010,SRIKAKULAM,Overall,High,8.843112,91.15689
10011,VISAKHAPATNAM,OBC,High,0.55133957,99.44866
10011,VISAKHAPATNAM,SC,High,4.4918137,95.50818
10011,VISAKHAPATNAM,ST,High,0.19026951,99.80974
10012,VIZIANAGARAM,General,High,0.17081991,99.82918
10013,WESTGODAVARI,General,High,1.0440011,98.956
10013,WESTGODAVARI,OBC,High,0.41108584,99.58891
10013,WESTGODAVARI,ST,High,0.24287581,99.75712
10013,WESTGODAVARI,Overall,High,1.467067,98.532936
10101,ArunachalPradesh,General,High,0.27378806,99.72621
10101,ArunachalPradesh,OBC,High,0.81075114,99.18925
10201,BAJALI,OBC,High,0.5176021,99.48239
10201,BAJALI,SC,High,23.953444,76.046555
10201,BAJALI,Overall,High,46.054005,53.945988
10202,BAKSA,General,Low,0.22228836,99.77772
10202,BAKSA,OBC,Low,0.2796175,99.72038
10202,BAKSA,SC,Low,0.576409,99.42359
10202,BAKSA,ST,Low,0.17583115,99.824165
10202,BAKSA,Overall,Low,1.1068505,98.89314
10203,BARPETA,General,High,2.3079703,97.692024
10203,BARPETA,OBC,High,4.1592145,95.84078
10203,BARPETA,ST,High,30.919725,69.08027
10204,BISWANATH,OBC,High,0.60021114,99.399796
10204,BISWANATH,SC,High,0.8292809,99.170715
10204,BISWANATH,ST,High,1.5718713,98.42812
10205,BONGAIGAON,General,High,45.841637,54.158367
10205,BONGAIGAON,OBC,High,37.552113,62.447884
10205,BONGAIGAON,Overall,High,0.1257413,99.87427
10206,CACHAR,SC,Low,19.410906,80.58909
10206,CACHAR,ST,Low,0.22033615,99.77966
10207,CHARAIDEO,Overall,Low,1.1552348,98.84476
10208,CHIRANG,OBC,High,0.08739412,99.912605
10208,CHIRANG,SC,High,3.4394574,96.56054
10208,CHIRANG,Overall,High,0.3164491,99.683556
10209,DARRANG,SC,High,3.960618,96.03938
10209,DARRANG,Overall,High,1.228504,98.7715
10210,DHEMAJI,OBC,High,0.10966346,99.89034
10210,DHEMAJI,SC,High,17.019205,82.9808
10210,DHEMAJI,ST,High,1.4237764,98.576225
10210,DHEMAJI,Overall,High,14.423734,85.57626
10211,DHUBRI,SC,High,0.72265005,99.27734
10211,DHUBRI,ST,High,1.5054857,98.494514
10211,DHUBRI,Overall,High,0.115805656,99.88419
10212,DIBRUGARH,General,High,0.07819903,99.9218
10212,DIBRUGARH,ST,High,3.1749234,96.82507
10212,DIBRUGARH,Overall,High,1.4577714,98.54223
10213,DIMAHASAO,General,High,0.32330778,99.67669
10213,DIMAHASAO,OBC,High,24.686949,75.31304
10213,DIMAHASAO,ST,High,0.14936493,99.85064
10213,DIMAHASAO,Overall,High,0.54973376,99.450264
10214,GOALPARA,OBC,High,10.934679,89.06532
10214,GOALPARA,ST,High,0.26242524,99.73757
10214,GOALPARA,Overall,High,49.66067,50.33933
10215,GOLAGHAT,OBC,High,1.4744303,98.52557
10215,GOLAGHAT,SC,High,0.061080564,99.93892
10215,GOLAGHAT,ST,High,5.2045846,94.79541
10215,GOLAGHAT,Overall,High,13.490073,86.509926
10217,HOJAI,SC,High,0.10471073,99.89529
10218,JORHAT,General,High,0.48321608,99.516785
10218,JORHAT,OBC,High,0.31761384,99.68239
10218,JORHAT,SC,High,15.710438,84.289566
10218,JORHAT,Overall,High,0.18123077,99.81877
10219,KAMRUP-METRO,OBC,High,11.980335,88.01967
10219,KAMRUP-METRO,ST,High,8.933198,91.066795
10219,KAMRUP-METRO,Overall,High,6.7099705,93.29003
10220,KAMRUP-RURAL,General,High,0.34212178,99.657875
10220,KAMRUP-RURAL,OBC,High,5.024737,94.97526
10220,KAMRUP-RURAL,ST,High,18.575377,81.42462
10220,KAMRUP-RURAL,Overall,High,0.22660378,99.77339
10221,KARBIANGLONG,General,High,1.7900252,98.20998
10221,KARBIANGLONG,OBC,High,24.968666,75.031334
10221,KARBIANGLONG,SC,High,0.4537725,99.54623
10221,KARBIANGLONG,ST,High,0.060318172,99.93968
10221,KARBIANGLONG,Overall,High,22.288153,77.711845
10222,KARIMGANJ,General,High,20.596668,79.403336
10222,KARIMGANJ,OBC,High,1.1506228,98.84937
10222,KARIMGANJ,SC,High,0.23111929,99.768875
10222,KARIMGANJ,ST,High,0.43861625,99.56138
10223,KOKRAJHAR,General,High,0.59921056,99.400795
10223,KOKRAJHAR,ST,High,0.89159924,99.1084
10223,KOKRAJHAR,Overall,High,2.472684,97.52731
10224,LAKHIMPUR,General,Low,10.715278,89.28472
10224,LAKHIMPUR,SC,Low,0.63998175,99.36002
10224,LAKHIMPUR,Overall,Low,4.377883,95.622116
10225,MAJULI,General,Low,3.940812,96.05919
10225,MAJULI,OBC,Low,1.4096924,98.59032
10225,MAJULI,ST,Low,0.17416932,99.82583
10225,MAJULI,Overall,Low,11.960411,88.0396
10226,MORIGAON,General,High,0.50736254,99.49263
10226,MORIGAON,OBC,High,0.94008327,99.05992
10226,MORIGAON,SC,High,0.94980067,99.0502
10226,MORIGAON,ST,High,0.2104899,99.78951
10227,NAGAON,General,High,2.9863825,97.01361
10227,NAGAON,OBC,High,0.28110993,99.71889
10227,NAGAON,SC,High,1.4898987,98.5101
10227,NAGAON,ST,High,1.9594133,98.04058
10227,NAGAON,Overall,High,0.15619262,99.8438
10228,NALBARI,General,High,0.2631814,99.73682
10228,NALBARI,OBC,High,0.6763989,99.3236
10228,NALBARI,Overall,High,0.25059605,99.74941
10229,SIBSAGAR,SC,High,48.208412,51.791584
10229,SIBSAGAR,Overall,High,0.24235444,99.757645
10230,SONITPUR,General,High,0.45575956,99.544235
10230,SONITPUR,ST,High,0.67207855,99.32792
10230,SONITPUR,Overall,High,0.7484232,99.25157
10231,SOUTHSALMARA-MANKACHAR,General,High,0.3818176,99.61819
10231,SOUTHSALMARA-MANKACHAR,OBC,High,5.3607783,94.63922
