"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:19 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Andhra Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTAPUR,General,0,0.13,0,0.82,0.99,0.91,16.49,19.7,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTAPUR,OBC,0,0,0,0.75,0.58,0.66,18.2,17.18,17.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTAPUR,SC,0,0,0,0.67,0.72,0.7,15.72,16.71,16.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTAPUR,ST,0,0,0,1.97,0.41,1.16,19.38,18.88,19.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANANTAPUR,Overall,0,0,0,0.8,0.67,0.73,17.5,17.65,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITTOOR,General,0,0,0,0,0.26,0,4.23,6.67,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITTOOR,OBC,0,0,0,0.13,0,0,14.02,12.77,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITTOOR,SC,0,0,0,0.09,0,0,13.21,13.76,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITTOOR,ST,1.23,1.4,1.32,1.44,1.83,1.65,17.94,19.63,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITTOOR,Overall,0,0,0,0,0.06,0.01,11.63,11.7,11.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GODAVARI,General,0,0,0,0,0,0,12.32,16,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GODAVARI,OBC,0,0,0,0,0,0,12.86,17.51,15.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GODAVARI,SC,0,0,0,0.18,0.34,0.26,10.59,16.56,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GODAVARI,ST,0,0,0,0.36,2.3,1.31,17.89,5.2,12.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GODAVARI,Overall,0,0,0,0,0.11,0,12.55,16.23,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNTUR,General,0,1.54,0.74,1.01,1.71,1.38,13.71,14.45,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNTUR,OBC,0,0,0,0.99,1.12,1.06,19.9,16.84,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNTUR,SC,0,0,0,0.95,0.86,0.9,16.36,18.73,17.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNTUR,ST,0.26,1.17,0.74,2.89,2.73,2.8,24.02,22.7,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNTUR,Overall,0,0.08,0,1.1,1.34,1.23,17.3,16.77,17.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KADAPA,General,0,0,0,0.34,0,0,19.61,21.57,20.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KADAPA,OBC,0,0,0,1.36,0.55,0.95,18.21,19.31,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KADAPA,SC,0,0,0,0.89,0.93,0.91,10.7,14.63,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KADAPA,ST,0.91,1.27,1.1,4.76,3.64,4.17,22.43,24.66,23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KADAPA,Overall,0,0,0,1.09,0.41,0.74,17.25,19.24,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA,General,0.62,1.97,1.34,0.44,1,0.74,12.02,12.58,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA,OBC,0,0,0,0.29,0.64,0.47,17.51,18.26,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA,SC,0,0,0,0.29,0.58,0.44,14.78,19.61,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA,ST,0,0.07,0,3.36,2.59,2.97,11.87,14.24,13.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA,Overall,0,0,0,0.45,0.8,0.64,15.16,16.71,15.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURNOOL,General,0.42,1.97,1.27,1.46,2.11,1.82,15.24,21.34,18.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURNOOL,OBC,0,0,0,1.97,1.07,1.5,21.31,19.3,20.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURNOOL,SC,0,0,0,1.06,0.99,1.03,13.94,15.77,14.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURNOOL,ST,0,0,0,1.75,0.08,0.89,14.32,15.54,14.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURNOOL,Overall,0,0,0,1.7,1.18,1.43,18.61,18.83,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELLORE,General,0,0.35,0,0.32,0.77,0.56,5.78,6.18,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELLORE,OBC,0,0,0,0.32,0.49,0.41,13.25,10.8,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELLORE,SC,0,0,0,0.25,0.19,0.22,10.27,7.83,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELLORE,ST,2.74,3.97,3.37,3.7,4.97,4.34,19.45,16.79,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELLORE,Overall,0,0.2,0,0.64,0.9,0.77,11.25,9.37,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAKASAM,General,0,0,0,0,0,0,16.85,17.85,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAKASAM,OBC,0,0,0,0.48,0,0.14,20.36,15.59,17.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAKASAM,SC,0,0,0,0.56,0,0.27,16.7,17.9,17.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAKASAM,ST,0.16,0.48,0.33,3.78,4.82,4.31,19.44,17.87,18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAKASAM,Overall,0,0,0,0.44,0,0.15,18.31,16.94,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRIKAKULAM,General,0,0,0,0,0.97,0.44,8.45,7.65,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRIKAKULAM,OBC,0,0,0,0,0,0,10.35,15.12,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRIKAKULAM,SC,0,0,0,0,0,0,8.93,10.8,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRIKAKULAM,ST,0.57,2,1.32,0.18,1.76,0.99,15.58,13.22,14.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRIKAKULAM,Overall,0,0,0,0,0,0,10.45,14.19,12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISAKHAPATNAM,General,0.36,1.2,0.81,1.35,1.69,1.53,20.23,21.96,21.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISAKHAPATNAM,OBC,0,0,0,0,0.28,0.11,6.58,12.01,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISAKHAPATNAM,SC,0,0,0,0,0.41,0.19,7.2,14.78,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISAKHAPATNAM,ST,0.61,0.49,0.55,3.06,3.91,3.5,12.96,11.2,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISAKHAPATNAM,Overall,0,0,0,0.75,1.18,0.98,10.57,14.48,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIANAGARAM,General,0,0,0,0,0,0,11.22,11.76,11.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIANAGARAM,OBC,0,0,0,0,0,0,9.02,12.67,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIANAGARAM,SC,0,0,0,0,0,0,6.02,3.39,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIANAGARAM,ST,0.04,0.11,0.07,0.73,2.01,1.39,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIANAGARAM,Overall,0,0,0,0,0,0,7.61,9.08,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST GODAVARI,General,0,0,0,0.13,0.49,0.32,43.21,45.2,44.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST GODAVARI,OBC,0,0,0,0.02,0.22,0.12,39.67,41.34,40.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST GODAVARI,SC,0,0,0,0.29,0.47,0.38,30.74,31.89,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST GODAVARI,ST,0.03,0.81,0.43,0.71,1.91,1.32,22.68,20.34,21.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST GODAVARI,Overall,0,0,0,0.14,0.42,0.29,37.83,39.49,38.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Overall,0,0,0,0.5,0.54,0.52,16.12,17.3,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
