"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Assam,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKSA,General,3.09,1.73,2.41,5.94,9.31,7.55,33.38,31.84,32.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKSA,OBC,1.86,2.97,2.41,5.64,5.17,5.41,37.96,39.94,38.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKSA,SC,4.66,4.75,4.71,0,4.54,2.27,23.1,23.93,23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKSA,ST,0.74,0.99,0.87,0,0.6,0.07,28.52,26.87,27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKSA,Overall,2.16,2.14,2.14,2.87,4.5,3.67,31.53,31.03,31.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARPETA,General,0.76,4.92,2.89,6.53,10.07,8.19,30.75,23.84,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARPETA,OBC,0,0,0,0,0,0,12.08,7.36,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARPETA,SC,0,0,0,0,0,0,29.1,17.32,23.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARPETA,ST,0,0,0,0.31,0,0,21.04,15.69,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARPETA,Overall,0.23,3.97,2.14,5.34,8.05,6.63,29.28,21.95,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISWANATH,General,1.76,2.43,2.1,4.58,7.82,6.12,34.85,41.53,37.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISWANATH,OBC,3.66,4.31,3.99,0,3.3,0.08,41.36,42.11,41.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISWANATH,SC,5.6,4.05,4.82,0,0,0,37.62,40.51,39.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISWANATH,ST,1.9,2.08,1.99,0,4.21,0.4,38.99,34.44,36.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISWANATH,Overall,3.07,3.46,3.27,0,3.93,1.08,39.01,40.12,39.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONGAIGAON,General,3.91,6.6,5.27,5.7,8.12,6.84,39.33,36.94,38.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONGAIGAON,OBC,0,0,0,0,0,0,31.91,34.83,33.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONGAIGAON,SC,0,0.37,0.01,0,0,0,37.75,36.54,37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONGAIGAON,ST,0,0,0,0,0,0,18.34,25.45,21.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONGAIGAON,Overall,2.37,4.47,3.43,1.12,2.67,1.86,36.89,35.99,36.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHAR,General,1.47,2.6,2.05,1.26,5.79,3.55,32.71,31.92,32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHAR,OBC,4.72,5.32,5.03,0.12,4.45,2.29,37.21,35.75,36.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHAR,SC,1.87,4.44,3.16,0.52,0.7,0.61,40.47,37.69,39.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHAR,ST,8.92,7.95,8.42,6.62,16.01,11.66,38.16,32.1,35.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHAR,Overall,2.8,3.99,3.41,0.99,4.83,2.92,35.78,34.16,35.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARAIDEO,General,9.13,6.76,7.9,0,0,0,23.15,14.39,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARAIDEO,OBC,4.08,6.21,5.17,8.54,9.85,9.18,25.18,29.44,27.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARAIDEO,SC,0,0,0,0,0,0,25.85,0.61,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARAIDEO,ST,3.3,9.13,6.34,0,0,0,0,3.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARAIDEO,Overall,4.3,6.03,5.18,6.35,7.45,6.89,23.33,25.57,24.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,General,4.84,7.29,6.09,1.06,2.41,1.69,37.4,31.81,34.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,OBC,0,3.72,1.62,5,7.88,6.45,40.52,39.21,39.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,SC,3.05,2.96,3,12.19,16.24,14.11,40.25,40.81,40.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,ST,3.49,5.13,4.33,1.62,6.07,3.83,32.75,30.64,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIRANG,Overall,3.04,5.38,4.24,3.25,6.39,4.78,36.5,33.93,35.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,General,5.18,8.79,7,7.43,8.49,7.9,32.07,28.26,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,OBC,0,0.86,0.15,0,0,0,17.72,18.36,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,SC,4.41,8.7,6.64,1.43,8.13,4.72,37.46,43.31,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,ST,5.06,13.1,9.13,0,0,0,21.14,25.41,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARRANG,Overall,4.59,8.09,6.35,5.37,6.54,5.89,29.7,27.2,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
