"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Chhattisgarh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALOD,General,0,0.31,0,0,0,0,5.08,15.48,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALOD,OBC,0,0,0,1.4,0.85,1.13,1.42,7.43,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALOD,SC,0,0,0,0,4.77,2.12,7.65,12.75,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALOD,ST,0,0,0,0.94,2.87,1.92,7.06,12.52,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALOD,Overall,0,0,0,0.79,1.78,1.29,3.96,9.81,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALODABAZAR,General,0,0,0,0,0,0,12.96,11.89,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALODABAZAR,OBC,0,0,0,2.12,4.93,3.51,13.87,18.24,15.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALODABAZAR,SC,0,0.4,0,3.1,5.36,4.22,13.39,18.6,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALODABAZAR,ST,0,0,0,6.87,10.92,8.85,17.1,25.55,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALODABAZAR,Overall,0,0,0,2.82,5.61,4.21,14.18,19.06,16.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMPUR,General,0.16,0,0,7.15,0,1.86,11.99,13.37,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMPUR,OBC,0,0,0,0.6,0,0.12,5.19,10.87,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMPUR,SC,2.35,0.73,1.52,9.39,0,3.33,16.97,19.38,18.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMPUR,ST,1.02,1.64,1.34,7.18,8.08,7.64,14.28,22.88,18.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALRAMPUR,Overall,0.24,1.01,0.64,5.73,4.74,5.23,11.86,18.53,15.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASTER,General,0,0,0,0,0,0,9.09,10.28,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASTER,OBC,2.67,1,1.82,6.51,7.28,6.91,11.45,17.64,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASTER,SC,0.18,0,0,8.89,22.07,15.58,29.55,28.11,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASTER,ST,2.75,3.17,2.97,5.78,5.31,5.55,13.74,19.06,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
