"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:21 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA AND NAGAR HAVELI(DIST),General,5.76,5.38,5.56,2.98,2.68,2.82,15.21,19.21,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA AND NAGAR HAVELI(DIST),OBC,0,1.22,0,0,0,0,0,1.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA AND NAGAR HAVELI(DIST),SC,6.17,1.45,3.75,0,0,0,0,9.65,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA AND NAGAR HAVELI(DIST),ST,0.17,0.19,0.18,0,0,0,19.14,24.76,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA AND NAGAR HAVELI(DIST),Overall,2.49,2.65,2.58,0.65,0.63,0.64,16.14,21.18,18.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAN (DIST),General,5.75,10.45,8.3,4.78,8.53,6.81,14.26,18.64,16.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAN (DIST),OBC,5.79,8.04,6.98,4.05,5.79,5.04,0,16.6,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAN (DIST),SC,0,0,0,6.95,5.13,6,1.96,22.31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAN (DIST),ST,6.01,8.33,7.2,4.18,4.22,4.2,21.33,35.93,29.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMAN (DIST),Overall,5.54,9.61,7.73,4.71,7.57,6.26,11.05,20.77,16.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIU (DIST),General,2.88,5.66,4.36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIU (DIST),OBC,4.68,2.01,3.34,0,0,0,11.96,14.7,13.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIU (DIST),SC,4.88,0,0,0,12.5,4.84,29.23,20.9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIU (DIST),ST,0,27.78,17.24,50,16.67,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIU (DIST),Overall,4.53,2.25,3.37,0,0,0,12.13,13.99,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Overall,3.37,4.4,3.92,1.28,2.05,1.69,14.65,20.47,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
