"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:21 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Gujarat,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMEDABAD,General,11.71,8.53,10.02,11.43,10.01,10.67,20.7,22.58,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMEDABAD,OBC,0,0,0,5.25,0,1.5,19.53,22.17,21.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMEDABAD,SC,0,0,0,0,0,0,10.92,18.73,15.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMEDABAD,ST,0,0,0,0,0,0,0,3.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMEDABAD,Overall,2.42,0.31,1.3,6.35,3.02,4.57,18.73,21.68,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRELI,General,0,0,0,2.72,0.12,1.32,15.48,25.07,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRELI,OBC,1.81,1.56,1.68,8.02,4.37,6.11,27.5,33.4,30.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRELI,SC,0,0,0,0,2.25,0,16.37,28.2,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRELI,ST,3.46,4.83,4.35,6.95,14.18,11.58,28.49,43.37,37.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRELI,Overall,0.49,0.83,0.67,6.04,3.68,4.79,23.42,31.1,27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAND,General,1.95,0,0.42,4.62,3.9,4.24,20.22,27.96,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAND,OBC,0,1.02,0.5,6.62,1.73,4.05,28.17,28.7,28.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAND,SC,0,0,0,1.25,0,0,20.23,25.74,23.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAND,ST,6.23,8.06,7.24,10.35,15.52,13.36,15.09,27.66,22.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAND,Overall,0.67,0.37,0.52,5.83,2.59,4.11,24.52,28.28,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAVALLI,General,0,0,0,0.94,0,0,11.92,18.4,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAVALLI,OBC,0.69,0,0.26,3.17,2.6,2.87,19.21,24.72,22.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAVALLI,SC,2.25,2.16,2.21,0,0,0,15.18,16.7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
