"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:22 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Himachal Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR (H.P.),General,0,0,0,0,0,0,3.97,5.27,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR (H.P.),OBC,0,2.48,0,5.08,6.11,5.62,5.38,1.4,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR (H.P.),SC,0,1.09,0.18,2.79,2.44,2.61,7.86,9.83,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR (H.P.),ST,0.24,0.47,0.35,1.24,4.84,3.06,11.65,12.55,12.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR (H.P.),Overall,0,0,0,1.06,0,0,5.41,6.55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBA,General,2.28,1.51,1.89,2.44,1.39,1.9,11.2,12.55,11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBA,OBC,4.38,8.25,6.47,0.35,7.8,4.12,7.3,15.91,11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBA,SC,0,0,0,6.91,3.54,5.24,19.02,15.86,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBA,ST,1.17,0,0.13,0.52,0,0,2.71,8.15,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBA,Overall,1.31,0.58,0.94,3,1.47,2.22,10.76,12.23,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMIRPUR (H.P.),General,0,0,0,0,0,0,3.51,2.98,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMIRPUR (H.P.),OBC,0.38,0,0,2.76,0,0.84,1.55,4.14,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMIRPUR (H.P.),SC,1.32,0,0.34,0,0,0,5,6.19,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMIRPUR (H.P.),ST,0,8.29,2.89,0,21.82,11.9,6.06,7.83,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMIRPUR (H.P.),Overall,0.06,0,0,0,0,0,3.62,4.03,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGRA,General,0.78,1.1,0.95,0,0.52,0,5.29,3.99,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGRA,OBC,0.93,1.41,1.19,0.05,0.46,0.27,3.59,6.02,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGRA,SC,1.67,1.81,1.74,0.92,0,0.43,5.98,7.06,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANGRA,ST,1.35,2.41,1.9,0,0,0,2.42,8.03,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
