"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:24 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Karnataka,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,General,9.36,8.91,9.11,13.75,14.07,13.92,17.62,27.98,23.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,OBC,0.01,0.4,0.22,0.28,0.24,0.26,13.96,16.44,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,SC,0,0,0,1.58,1.81,1.7,23.65,22.09,22.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,ST,0,0,0,0,1.07,0.5,22.71,16.94,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,Overall,0.12,0.49,0.31,0.99,1.12,1.06,16.36,17.93,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,General,5.77,9.02,7.53,17.21,14.83,15.95,30.46,28.99,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,OBC,0.17,0.58,0.39,1.26,0.93,1.1,14,18.16,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,SC,0,0.13,0.05,4.56,2.65,3.6,17.53,19.86,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,ST,0.25,0.59,0.43,3.85,2.79,3.31,20.31,21.08,20.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,Overall,0.35,0.82,0.59,3.37,2.45,2.9,16.65,19.6,18.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,General,7.5,6.37,6.9,11.72,9.62,10.63,46.18,48.03,47.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,OBC,0,0,0,0,0,0,11.16,11.98,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,SC,0,0,0,2.94,3.07,3,22.67,24.21,23.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,ST,0,0,0,4.04,2.03,3.03,22.19,21.69,21.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,Overall,0.14,0.35,0.25,1.76,1.68,1.72,19.58,21.4,20.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,General,11.03,12.31,11.76,12.9,7.72,10.06,42.5,50.32,46.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,OBC,0,0,0,0,0,0,21.64,18.84,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,SC,0,0,0,0,0,0,24.41,24.18,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,ST,0,0,0,1.26,0.93,1.09,29.73,26.49,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,Overall,0,0.21,0.11,0,0.13,0.01,23.6,21.92,22.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,General,3.03,3.39,3.23,8.36,5.68,6.92,42.92,35.28,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,OBC,0.02,0.61,0.33,0.65,1.97,1.34,11.67,16.64,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,SC,0,0.5,0,0.7,1.07,0.89,9.92,18.7,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,ST,1.35,1.43,1.39,3.78,4.62,4.24,10.6,22.78,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,Overall,0.21,0.86,0.54,1.33,2.17,1.77,12.68,18.54,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,General,5.56,6.98,6.31,4.15,5.58,4.9,20.32,24.44,22.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,OBC,1.43,2.37,1.92,1.31,3.31,2.33,0.06,3.84,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,SC,3.89,4.06,3.98,3.87,4.85,4.37,8.06,12.29,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,ST,5.95,6.54,6.26,5.56,7.99,6.86,9.7,14.54,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,Overall,3.4,4.42,3.93,2.82,4.49,3.68,8.26,12.58,10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,General,4.07,4.09,4.08,5.02,5.07,5.04,21.35,21.95,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,OBC,4.14,4.56,4.35,4.5,5.78,5.16,10.67,15.42,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,SC,3.42,3.68,3.55,4.31,4.81,4.56,15.01,21.11,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,ST,4,5.49,4.8,8.59,9.34,8.98,21.08,24.13,22.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,Overall,4.01,4.27,4.15,4.74,5.43,5.1,15.35,18.95,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,General,10.41,8.84,9.57,19.86,17.03,18.36,30.43,35.19,33.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,OBC,0,0,0,0,0,0,15.55,17.99,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,SC,0,0,0,0.18,2.1,1.17,18.6,24.45,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,ST,0,0,0,0.19,0.61,0.4,18.86,24.83,21.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,Overall,0,0,0,0.12,0,0,17.55,21.66,19.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,General,3.06,4.36,3.81,0,15.19,7.87,34.87,52.07,43.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,OBC,0,0,0,0.51,1.11,0.81,17.6,20.35,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,SC,0,0,0,0,0.19,0,13.22,16.2,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,ST,0,0,0,1.05,2.13,1.59,18.78,21.09,19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,Overall,0,0,0,0.24,1.22,0.74,16.75,19.72,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,General,12.58,13.12,12.88,15.3,14.42,14.84,33.08,32.55,32.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,OBC,1.86,2.35,2.12,1.63,1.96,1.8,5.23,9.92,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,SC,0.48,0.82,0.66,2.05,1.86,1.96,11.54,8.93,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,ST,1.76,1.26,1.5,2.05,0.08,1.07,11.94,10.51,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,Overall,1.83,2.22,2.03,2.37,2.23,2.3,8.79,10.43,9.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,General,7.49,8.58,8.05,4.5,4.73,4.63,17.13,15.08,16.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,OBC,0,0,0,0,0.25,0.1,17.51,22.6,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,SC,0.33,0.41,0.37,0,0,0,18.72,21.39,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,ST,0,0,0,0,0,0,8.25,20.87,14.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,Overall,0,0,0,0,0.12,0.05,17.36,21.94,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,General,12.05,9,10.41,11.39,11.38,11.39,33.33,42.04,38.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,OBC,0,0,0,0,0,0,15.99,18.31,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,SC,0,0,0,0,0,0,20.91,17.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,ST,0.29,0.86,0.58,0,0,0,22.47,15.72,18.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,Overall,0,0.13,0,0,0,0,18.86,18.12,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,General,8.11,7.62,7.85,6.82,7.58,7.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,OBC,0,0.03,0,0,0,0,2.98,7.97,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
