"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:25 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Kerala,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAPPUZHA,General,2.99,3.2,3.09,6.11,4.37,5.22,11.44,5.42,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAPPUZHA,OBC,0,0,0,0,0,0,0.62,3.97,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAPPUZHA,SC,1.2,2.99,2.12,0.1,2.76,1.47,0.45,2.59,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAPPUZHA,ST,41.3,50.18,46.21,0,25.15,0,3.08,40.51,23.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAPPUZHA,Overall,0.12,0.37,0.25,0.08,0.59,0.34,3.74,4.34,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNAKULAM,General,8.68,7.24,7.94,7.97,7.39,7.68,10.89,12.96,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNAKULAM,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNAKULAM,SC,0,0.88,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNAKULAM,ST,0,0,0,0,2.03,0,0,30.49,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNAKULAM,Overall,0,0,0,0,0,0,1.91,4.63,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDUKKI,General,0,0,0,0,0,0,0,3.01,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDUKKI,OBC,3.2,2.73,2.96,0.4,0.22,0.3,3.77,6.22,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDUKKI,SC,4.23,3.69,3.95,0,2.48,0.81,11.45,11.42,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDUKKI,ST,3.29,6.83,5.09,5.17,6.94,6.13,17.81,22.6,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDUKKI,Overall,0,0,0,0,0,0,3.14,6.31,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNUR,General,0.24,0.08,0.16,0,0,0,0.63,0.34,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNUR,OBC,0,0,0,0,0,0,3.23,7.49,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNUR,SC,0.71,0.32,0.51,3.6,1.6,2.55,5.42,5.82,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNUR,ST,2.63,0,1.06,6.26,2.32,4.3,4.26,18.39,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANNUR,Overall,0,0,0,0,0,0,2.86,6.41,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASARAGOD,General,0,0,0,0,0.3,0,5.19,9.66,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASARAGOD,OBC,0.76,2.07,1.44,0.3,0.49,0.4,10.32,13.79,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASARAGOD,SC,0,0,0,0,0,0,8.33,8.01,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASARAGOD,ST,1.57,2.1,1.85,0,0,0,0,9.85,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASARAGOD,Overall,0.12,1.14,0.65,0,0.24,0,9,12.79,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLLAM,General,2.69,4.96,3.85,4.05,9.98,7.16,6.77,13.86,10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLLAM,OBC,0.2,0,0,0,0,0,4.68,6.92,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLLAM,SC,0,0,0,0,0,0,0,0.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLLAM,ST,2.2,0,0.91,16.41,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLLAM,Overall,0.78,0.65,0.71,0.59,0.51,0.55,3.98,8.28,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTAYAM,General,1.91,1.93,1.92,2.05,2.48,2.27,0,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTAYAM,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTAYAM,SC,0,3.36,1.25,0.06,0.97,0.52,0,3.1,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTAYAM,ST,0.62,2.57,1.64,3.33,0,0,7.31,4.89,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTTAYAM,Overall,0.14,0.7,0.43,0,0.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOZHIKODE,General,5.23,4.06,4.63,1.25,4.55,2.94,2.52,13.19,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOZHIKODE,OBC,0,0,0,0,0,0,7.15,12.42,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOZHIKODE,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOZHIKODE,ST,0,2.29,0,11.4,0,3.62,34.75,2.46,21.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOZHIKODE,Overall,0,0.23,0.06,0,0.24,0.05,5.93,11.43,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAPPURAM,General,0,0,0,7.78,5.72,6.72,24.34,26.16,25.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAPPURAM,OBC,0,0,0,0,0,0,10.36,17.97,14.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAPPURAM,SC,0,0,0,0.47,0.01,0.23,0,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAPPURAM,ST,9.72,10.5,10.12,28.82,7.14,19.27,29.02,26.87,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAPPURAM,Overall,0,0,0,0,0,0,10.45,17.34,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAKKAD,General,0,0,0,0,0,0,0,5.56,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAKKAD,OBC,0.01,0.11,0.06,0,0,0,12.54,16.72,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAKKAD,SC,0,0,0,0,0,0,0.68,8.94,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAKKAD,ST,3.89,4.91,4.41,8.49,0,3.68,6.02,4.92,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALAKKAD,Overall,0,0,0,0,0,0,9.04,14.02,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATHANAMTHITTA,General,0,0,0,0,0,0,0,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATHANAMTHITTA,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATHANAMTHITTA,SC,3.5,1.27,2.37,2.03,0,0.98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATHANAMTHITTA,ST,0,7.34,3.67,0,0,0,27.73,0,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATHANAMTHITTA,Overall,0,0.08,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRUVANANTHAPURAM,General,0.09,0,0,3.98,2.78,3.37,2.5,4.8,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRUVANANTHAPURAM,OBC,0.86,1.6,1.24,0,0,0,4.54,7.75,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRUVANANTHAPURAM,SC,0.73,0.18,0.46,0.97,0,0,3.78,8.82,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRUVANANTHAPURAM,ST,0,0.79,0,4.42,12.17,8.22,2.49,26.3,14.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THIRUVANANTHAPURAM,Overall,0.64,0.61,0.62,0.46,0.52,0.49,3.94,7.35,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRISSUR,General,0.73,1.66,1.21,0.74,0.4,0.57,0.38,4.09,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRISSUR,OBC,0,0,0,0,0,0,5.7,11.01,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRISSUR,SC,0.05,0.24,0.15,0,0,0,0.58,6.8,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRISSUR,ST,0.58,5.84,3.37,8.72,20.96,14.96,25.57,37.9,32.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRISSUR,Overall,0.19,0.39,0.29,0,0,0,3.58,8.56,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYANAD,General,0.71,0.83,0.77,2.26,1.31,1.77,3.42,5.67,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYANAD,OBC,0,0,0,0,0,0,3.82,7.6,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYANAD,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYANAD,ST,1.07,0,0.12,0.15,0.75,0.46,14.29,15.91,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYANAD,Overall,0,0,0,0.06,0,0,5.71,8.26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Overall,0,0.11,0.02,0,0,0,4.85,9.14,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
