"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Madhya Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAR MALWA,General,0.77,0,0,7.69,8.63,8.19,20.17,22.56,21.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAR MALWA,OBC,1.5,3.5,2.56,14.67,12.45,13.51,30.86,32.5,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAR MALWA,SC,0,0,0,12,7.73,9.77,31.58,36.81,34.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAR MALWA,ST,0,0,0,0,0,0,45.23,31,37.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAR MALWA,Overall,0,1.18,0.53,12.49,10.19,11.3,29.81,32.12,31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIRAJPUR,General,27.26,24.32,25.78,28.97,35.4,32.48,19.48,20.15,19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIRAJPUR,OBC,19.93,26.29,23.22,21.07,19.91,20.49,35.1,37.15,36.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIRAJPUR,SC,47.07,47.14,47.1,41.77,44.38,43.26,49.11,48.49,48.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIRAJPUR,ST,6.69,7.06,6.89,5.59,6.69,6.23,16.76,29.42,24.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIRAJPUR,Overall,8.83,9.13,8.99,8.41,9.31,8.94,19.37,30.35,25.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUPPUR,General,0,0,0,0,5.9,2.81,10.82,13.64,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUPPUR,OBC,0.62,0.58,0.6,2.92,5.7,4.34,19.01,24.75,21.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUPPUR,SC,0,0,0,3.73,2.08,2.9,27.66,26.23,26.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUPPUR,ST,2.8,3.07,2.94,8.08,10.78,9.43,23.38,34.06,28.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANUPPUR,Overall,1.23,1.33,1.28,5.42,7.89,6.67,21.4,28.05,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKNAGAR,General,3.08,2.4,2.73,5.91,5.03,5.45,17.97,14.39,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
