"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Maharashtra,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADNAGAR,General,1.12,0.49,0.78,0.59,1.09,0.87,8.12,6.34,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADNAGAR,OBC,0,0,0,0.27,0,0.08,4.29,2.18,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADNAGAR,SC,0,0.33,0.03,0,0.45,0.02,13.39,11.17,12.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADNAGAR,ST,2.2,2.33,2.27,0.02,0,0,24.25,21.08,22.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHMADNAGAR,Overall,0.44,0.49,0.47,0.28,0.51,0.4,9.51,7.26,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA,General,0,0.46,0.04,0,0,0,3.44,7.24,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA,OBC,0.37,0.5,0.44,0.9,1.15,1.03,7.69,6.14,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA,SC,0.75,0.47,0.61,2.17,0.83,1.48,10.28,9.73,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA,ST,0.58,0,0,1.66,0,0.29,20.93,17.39,18.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKOLA,Overall,0.24,0.4,0.33,0.42,0.2,0.3,7.8,7.86,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRAVATI,General,1.6,2.13,1.87,0.96,0.94,0.95,11.82,14.17,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRAVATI,OBC,0.9,1.11,1.01,0.9,1.8,1.37,8.25,13.56,11.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRAVATI,SC,0.21,0.68,0.46,0.38,0,0,7.62,10.11,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRAVATI,ST,2.14,1.63,1.87,4.04,3.42,3.72,17.39,17.07,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
