"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Manipur,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHNUPUR,General,14.29,14.64,14.47,8.83,16.29,12.74,31.07,38.45,34.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHNUPUR,OBC,0,0,0,0,0,0,15.34,12.13,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHNUPUR,SC,0,6.88,3.16,0,0,0,16.11,18.53,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHNUPUR,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHNUPUR,Overall,0.99,1.68,1.34,0,0,0,20.4,22.02,21.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDEL,General,1.28,21.26,11.82,34.45,32.71,33.63,33.33,0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDEL,OBC,8.78,17.47,13.38,35.79,12.99,25.58,28.26,0,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDEL,SC,37.11,34.94,36.11,21.05,27.91,24.69,22.5,9.68,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDEL,ST,10.17,13.99,12.17,1.92,4.28,3.06,26.12,31.73,28.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDEL,Overall,10.37,14.63,12.6,6.1,6.99,6.53,26.38,28,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURACHANDPUR,General,0,0,0,0,0,0,0,14.5,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURACHANDPUR,OBC,5.67,11.99,9.08,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURACHANDPUR,SC,67.31,73.7,70.59,35.71,52.9,44.75,67.65,61.33,64.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURACHANDPUR,ST,9.27,11.15,10.22,10.6,9.39,10,17.49,17.89,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURACHANDPUR,Overall,9.93,11.54,10.75,9.41,8.14,8.78,16.91,17.63,17.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL EAST,General,6.43,5.83,6.12,1.28,0,0,12.97,7.64,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL EAST,OBC,5.9,9.22,7.56,1.27,3.17,2.21,17.48,13.24,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL EAST,SC,7.19,4.13,5.64,0,2.42,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL EAST,ST,8.4,5.58,6.97,0,4.2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL EAST,Overall,6.42,7.06,6.74,0.47,1.1,0.79,10.08,3.95,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL WEST,General,13.18,14.96,14.1,13.69,11.68,12.68,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL WEST,OBC,0.11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL WEST,SC,18.92,21.92,20.46,10.45,11.43,10.93,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL WEST,ST,0,1.85,0,0,3.31,0.17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHAL WEST,Overall,7.19,7.57,7.38,4.04,3.47,3.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIRIBAM,General,8.85,8.54,8.7,5.44,12.26,8.73,28.23,26.2,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIRIBAM,OBC,0,0,0,32.09,30.82,31.5,76.79,77.5,77.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIRIBAM,SC,19.09,22.6,20.9,10.16,19.3,14.8,36.96,20.62,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
