"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:undefined,,,,,,,,,,,,,,,,,,State Name :Karnataka,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,General,0.97,9.24,5.59,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,OBC,0.34,0.58,0.47,1.04,2.14,1.61,15.05,17.01,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,SC,0.42,1.08,0.76,1.82,1.28,1.55,19.61,19.57,19.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,ST,1.47,1.58,1.53,1.54,1.67,1.61,16.53,17.08,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGALKOT,Overall,0.43,0.97,0.71,0.36,1.64,1.02,14.31,16.34,15.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,General,40.51,37.09,38.7,48.75,45.39,46.96,48.18,48.45,48.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,OBC,49.9,49.7,49.8,49.72,49.91,49.82,58.94,59.39,59.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,SC,58.67,58.91,58.8,57.43,57.24,57.34,64.92,65.19,65.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,ST,47.21,47.55,47.39,46.34,47.73,47.05,61.63,58.64,60.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARI,Overall,51.21,51.06,51.14,50.9,51.07,50.99,60.4,60.12,60.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,General,8.91,9.5,9.22,12.18,12.65,12.43,34.71,36.84,35.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,OBC,0,0,0,0,0,0,9.92,14.19,12.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,SC,1.6,1.94,1.78,2.89,3.44,3.17,18.84,20.19,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,ST,0.99,2.43,1.72,2.62,3.3,2.96,21.74,18.69,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI,Overall,1,1.45,1.24,1.22,1.86,1.55,15.78,19.27,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,General,15.35,15.47,15.42,13.74,16.97,15.54,45.4,46.01,45.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,OBC,0,0,0,0,0,0,21.28,15.25,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,SC,0.06,0,0,0.61,0.03,0.32,19.98,17.79,18.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,ST,1.01,1.38,1.2,0.91,0.28,0.59,27.16,19.16,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAGAVI CHIKKODI,Overall,0.33,0.53,0.44,0.54,0.06,0.3,22.42,17.4,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,General,5.75,5.56,5.64,3.25,2.75,2.98,19.04,18.32,18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,OBC,0,0,0,0,0,0,11.54,18.78,15.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,SC,0,0,0,0,0,0,10.23,19.37,14.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,ST,0,0.08,0,0,2.69,1.02,18.04,26.19,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU RURAL,Overall,0,0,0,0,0,0,11.94,19.36,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,General,0.88,0,0,2.39,0.01,1.15,17.94,19.32,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,OBC,0,0,0,0,0,0,0.74,6.19,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,SC,4.93,5.78,5.36,5.87,7.21,6.55,7.33,8.3,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,ST,9.74,11.32,10.57,8.21,8,8.1,1.43,8.12,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U NORTH,Overall,0,0,0,1.63,1.23,1.42,7.33,10.97,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,General,0.66,1.25,0.97,3.57,3.26,3.41,21.55,20.84,21.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,OBC,0,0,0,1.04,1.98,1.52,4.84,8.24,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,SC,3.43,4.49,3.98,6.77,7.2,6.99,4.63,9.29,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,ST,9.23,9.59,9.41,11.55,12.35,11.97,0.48,10.06,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGALURU U SOUTH,Overall,0,0.03,0,3.07,3.43,3.26,10.68,13.22,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDAR,General,5.69,7.18,6.49,15.24,15.56,15.41,48.99,47.18,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
