District,State,Latitude,Longitude
Adilabad,ANDHRA PRADESH,19.663259,78.555315
Agra,UTTAR PRADESH,27.17568,78.008109
Ahmadabad,GUJARAT,23.026157,72.589687
Ahmadnagar,MAHARASHTRA,19.093412,74.746855
Aizawl,MIZORAM,23.748659,92.728016
Ajmer,RAJASTHAN,26.460578,74.641756
Akola,MAHARASHTRA,20.710576,77.00373
Alappuzha,KERALA,9.501632,76.329606
Aligarh,UTTAR PRADESH,27.875204,78.068216
Allahabad,UTTAR PRADESH,25.45399,81.851869
Almora,UTTARANCHAL,29.603844,79.665557
Alwar,RAJASTHAN,27.566581,76.610602
Ambala,HARYANA,30.376076,76.78821
Ambedkar Nagar *,UTTAR PRADESH,26.413411,82.54027
Amravati,MAHARASHTRA,20.937346,77.760249
Amreli,GUJARAT,21.598002,71.216081
Amritsar,PUNJAB,31.623088,74.87248
Anand  *,GUJARAT,22.566883,72.953775
Anantapur,ANDHRA PRADESH,14.679395,77.598252
Anantnag,JAMMU & KASHMIR,33.738528,75.16328
Andamans,ANDAMAN & NICOBAR,11.660569,92.741136
Anjaw,ARUNACHAL PRADESH,27.894204,96.790213
Anugul  *,ORISSA,20.836481,85.099192
Anuppur,MADHYA PRADESH,23.097789,81.701139
Araria,BIHAR,26.137794,87.464469
Ashok Nagar,MADHYA PRADESH,24.568718,77.728572
Auraiya *,UTTAR PRADESH,26.460045,79.519467
Aurangabad,BIHAR,24.749745,84.379225
Aurangabad,MAHARASHTRA,19.885543,75.333441
Azamgarh,UTTAR PRADESH,26.053641,83.181213
Bagalkot *,KARNATAKA,16.202963,75.707787
Bageshwar,UTTARANCHAL,29.842812,79.770905
Baghpat *,UTTAR PRADESH,28.934887,77.226645
Bahraich,UTTAR PRADESH,27.577746,81.598143
Balaghat,MADHYA PRADESH,21.815447,80.1932
Balangir,ORISSA,20.705399,83.496116
Baleshwar,ORISSA,21.492432,86.922744
Ballia,UTTAR PRADESH,25.760427,84.155791
Balrampur *,UTTAR PRADESH,27.424362,82.195912
Banas Kantha,GUJARAT,24.185024,72.444088
Banda,UTTAR PRADESH,25.467372,80.325071
Bangalore,KARNATAKA,12.97708,77.596173
Bangalore,KARNATAKA,12.97708,77.596173
Banka *,BIHAR,24.880617,86.919712
Bankura,WEST BENGAL,23.249965,87.061434
Banswara,RAJASTHAN,23.545683,74.448134
Barabanki,UTTAR PRADESH,26.931977,81.203728
Baramula,JAMMU & KASHMIR,34.200628,74.328035
Baran *,RAJASTHAN,25.113409,76.513669
Barddhaman,WEST BENGAL,23.262279,87.856827
Bareilly,UTTAR PRADESH,28.361856,79.419697
Bargarh  *,ORISSA,21.339228,83.63098
Barmer,RAJASTHAN,25.743971,71.393059
Barpeta,ASSAM,26.318438,91.012313
Barwani *,MADHYA PRADESH,22.02929,74.891275
Baster,CHHATTISGARH,19.086747,82.039276
Basti,UTTAR PRADESH,26.801568,82.758574
Bathinda,PUNJAB,30.293282,74.951926
Baudh  *,ORISSA,20.832374,83.922946
Baudh  *,ORISSA,20.826237,84.307596
Begusarai,BIHAR,25.409515,86.135757
Belgaum,KARNATAKA,15.858948,74.509438
Bellary,KARNATAKA,15.143301,76.923557
Betul,MADHYA PRADESH,21.903513,77.902064
Bhadrak  *,ORISSA,21.068425,86.503508
Bhagalpur,BIHAR,25.239305,86.974522
Bhandara,MAHARASHTRA,21.169245,79.657152
Bharatpur,RAJASTHAN,27.213921,77.500799
Bharuch,GUJARAT,21.69417,72.978556
Bhavnagar,GUJARAT,21.77414,72.139722
Bhilwara,RAJASTHAN,25.347483,74.637973
Bhind,MADHYA PRADESH,26.564114,78.789336
Bhiwani,HARYANA,28.791052,76.143875
Bhojpur,BIHAR,25.565465,84.677244
Bhopal,MADHYA PRADESH,23.266323,77.414303
Bid,MAHARASHTRA,18.987824,75.763809
Bidar,KARNATAKA,17.915869,77.531757
Bijapur,KARNATAKA,16.823754,75.719178
Bijnor,UTTAR PRADESH,29.379583,78.13407
Bikaner,RAJASTHAN,28.016543,73.317199
Bilaspur,HIMACHAL PRADESH,31.323902,76.761527
Bilaspur,CHHATTISGARH,22.074605,82.176189
Birbhum,WEST BENGAL,23.908735,87.534251
Bishnupur,MANIPUR,24.632371,93.764667
Bokaro *,JHARKHAND,23.640657,86.162947
Bongaigaon,ASSAM,26.502443,90.564968
Budaun,UTTAR PRADESH,28.034404,79.124138
