name,original_Pincode,lat,lon,county,state,state_code,country
Dariapur (Ahmedabad),380001,23.02112,72.585788,Ahmadabad,Gujarat,GJ,India
District Court (Ahmedabad),380001,23.242965,69.665897,Kachchh,Gujarat,GJ,India
Gandhi Road (Ahmedabad),380001,23.0249552,72.5944259,Ahmedabad City Taluka,Gujarat,GJ,India
Gheekanta Road,380001,23.0325872,72.5977218,Ahmedabad City Taluka,Gujarat,GJ,India
Jamalpur (Ahmedabad),380001,23.0057337,72.5740652,Ahmedabad City Taluka,Gujarat,GJ,India
Khadia,380001,23.02139,72.5892915,Ahmedabad City Taluka,Gujarat,GJ,India
Khanpur (Ahmedabad),380001,23.031773,72.530662,Ahmadabad,Gujarat,GJ,India
Lal Darwaja,380001,23.02557,72.57693,Ahmadabad,Gujarat,GJ,India
Municipal Corporation,380001,23.02112,72.585788,Ahmadabad,Gujarat,GJ,India
Raikhad,380001,23.021623,72.576928,Ahmadabad,Gujarat,GJ,India
Raipur (Ahmedabad),380001,23.031773,72.530662,Ahmadabad,Gujarat,GJ,India
Nava Vadaj,380013,23.0674244,72.5611098,Ahmedabad City Taluka,Gujarat,GJ,India
Shastrinagar (Ahmedabad),380013,23.031773,72.530662,Ahmadabad,Gujarat,GJ,India
Vadaj,380013,23.052411,72.5697197,Ahmedabad City Taluka,Gujarat,GJ,India
Dudheshwar Tavdipura,380004,23.053493,72.582513,Ahmadabad,Gujarat,GJ,India
Girdharnagar,380004,22.668372,72.983778,Kheda,Gujarat,GJ,India
Madhupura Market,380004,23.044668,72.58803693,Ahmedabad City Taluka,Gujarat,GJ,India
Shahibag,380004,23.055708,72.591694,Ahmadabad,Gujarat,GJ,India
Shahpur (Ahmedabad),380004,23.031773,72.530662,Ahmadabad,Gujarat,GJ,India
Rakhial,380023,23.0204787,72.6385628,Ahmedabad City Taluka,Gujarat,GJ,India
Rakhial Udyog Vistar,380023,,,,,,
Khodiyarnagar,382350,23.764397,71.7166,Patan,Gujarat,GJ,India
Sukhrampura,380023,23.0225452,72.6146603,Ahmedabad City Taluka,Gujarat,GJ,India
Bodakdev,380054,23.0445921,72.517344,Daskroi Taluka,Gujarat,GJ,India
Thaltej Road,380054,23.0504197,72.4988533,Daskroi Taluka,Gujarat,GJ,India
Nikol,382350,23.0589329,72.67187367,Ahmedabad City Taluka,Gujarat,GJ,India
Daxini Society,380008,22.99282475,72.61073201,Ahmedabad City Taluka,Gujarat,GJ,India
Jawahar Chowk,380008,22.9951368,72.6050988,Ahmedabad City Taluka,Gujarat,GJ,India
L G Hospital,380008,22.9995614,72.6050511,Ahmedabad City Taluka,Gujarat,GJ,India
Maninagar,380008,22.9986596,72.6114013,Ahmedabad City Taluka,Gujarat,GJ,India
Vasisthnagar,380008,,,,,,
Bilasia,382330,,,,,,
Limbadia,382330,23.124897,72.681614,Gandhinagar,Gujarat,GJ,India
Jivraj Park,380051,23.0058276,72.5329319,Ahmedabad City Taluka,Gujarat,GJ,India
Medra,382330,23.1286454,72.7045196,Gandhinagar Taluka,Gujarat,GJ,India
Nana Chiloda,382330,,,,,,
Bhadaj,380060,23.096244,72.4657337,Daskroi Taluka,Gujarat,GJ,India
Naroda,382330,23.0854097,72.6580946,Ahmedabad City Taluka,Gujarat,GJ,India
Chandlodia,382481,23.089391,72.5411367,Daskroi Taluka,Gujarat,GJ,India
Naroda I E,382330,,,,,,
Gota,382481,23.10067455,72.53990028,Daskroi Taluka,Gujarat,GJ,India
Pardhol,382330,23.094969,72.724298,Ahmadabad,Gujarat,GJ,India
Vehlal,382330,,,,,,
Nirnaynagar,382481,23.0726444,72.56070728,Ahmedabad City Taluka,Gujarat,GJ,India
Lapkaman,380060,23.13151,72.498571,Ahmadabad,Gujarat,GJ,India
Digvijaynagar,382470,,,,,,
Ognaj,380060,23.1080629,72.5226496,Daskroi Taluka,Gujarat,GJ,India
Gyaspur,382405,22.98452765,72.52800795,Ahmedabad City Taluka,Gujarat,GJ,India
Lambha,382405,22.9339127,72.5760578,Daskroi Taluka,Gujarat,GJ,India
Sola,380060,23.0829395,72.5247699,Daskroi Taluka,Gujarat,GJ,India
Saijpur,382405,23.0638912,72.6422949,Ahmedabad City Taluka,Gujarat,GJ,India
Ranip,382480,23.08008,72.57178,Ahmadabad,Gujarat,GJ,India
Shahwadi,382405,,,,,,
Tragad,382470,23.1283467,72.558657,Ahmedabad City Taluka,Gujarat,GJ,India
Odhav,382415,23.0244645,72.6688642,Ahmedabad City Taluka,Gujarat,GJ,India
Odhav Industrial Estate,382415,23.0227419,72.6606854,Ahmedabad City Taluka,Gujarat,GJ,India
Ambawadi (Ahmedabad),380006,23.031773,72.530662,Ahmadabad,Gujarat,GJ,India
Amraiwadi,380026,23.0083901,72.62197341,Ahmedabad City Taluka,Gujarat,GJ,India
Ellisbridge,380006,23.0231449,72.5601423,Ahmedabad City Taluka,Gujarat,GJ,India
Jodhpur Char Rasta,380015,23.0371316,72.5290981,Ahmedabad City Taluka,Gujarat,GJ,India
Anandnagar (Ahmedabad),380007,23.0043253,72.5520748,Ahmedabad City Taluka,Gujarat,GJ,India
Manekbag,380015,,,,,,
Asarwa Chakla,380016,23.04498,72.6077,Ahmadabad,Gujarat,GJ,India
Polytechnic (Ahmedabad),380015,23.030126,72.536614,Ahmadabad,Gujarat,GJ,India
Civil Hospital,380016,23.05143835,72.60511614,Ahmedabad City Taluka,Gujarat,GJ,India
Paldi (Ahmedabad),380007,23.0148606,72.5585554,Ahmedabad City Taluka,Gujarat,GJ,India
Meghaningar,380016,,,,,,
Sarkhej Road,380007,22.9920346,72.50502712,Ahmedabad City Taluka,Gujarat,GJ,India
Public Office (Ahmedabad),380016,23.0392128,72.55560118,Ahmedabad City Taluka,Gujarat,GJ,India
Shardanagar,380007,23.01014405,72.55044653,Ahmedabad City Taluka,Gujarat,GJ,India
Bapunagar,380024,23.0362408,72.630339,Ahmedabad City Taluka,Gujarat,GJ,India
Ashram Road,380009,23.0507979,72.572722,Ahmedabad City Taluka,Gujarat,GJ,India
Gita Mandir Road,380022,20.8869827,70.4154537,Patan Veraval Taluka,Gujarat,GJ,India
Gujarat University,380009,23.0382693,72.5477803,Ahmedabad City Taluka,Gujarat,GJ,India
Navrangpura,380009,23.0355882,72.5641854,Ahmedabad City Taluka,Gujarat,GJ,India
Shah Alam Roza,380028,22.9998665,72.5829655,Ahmedabad City Taluka,Gujarat,GJ,India
Bakrol,382210,22.562472,72.911477,Anand,Gujarat,GJ,India
Bhat,382210,22.8774195,72.4622791,Daskroi Taluka,Gujarat,GJ,India
Motera,380005,23.0917717,72.59733447,Ahmedabad City Taluka,Gujarat,GJ,India
O N G C,380005,23.081075,69.594983,Kachchh,Gujarat,GJ,India
Sabarmati,380005,23.0770712,72.5890677,Ahmedabad City Taluka,Gujarat,GJ,India
Kasindra,382210,22.8926473,72.4823306,Daskroi Taluka,Gujarat,GJ,India
Kolat,382210,22.95523425,72.42225723,Sanand Taluka,Gujarat,GJ,India
Navapura,382210,22.945666,72.451684,Ahmadabad,Gujarat,GJ,India
Sanathal,382210,22.9684565,72.46875096,Sanand Taluka,Gujarat,GJ,India
Sarkhej,382210,22.98297,72.50196,Ahmadabad,Gujarat,GJ,India
Telav,382210,22.982789,72.435489,Ahmadabad,Gujarat,GJ,India
Barwala Ghelasha,382450,,,,,,
Gomtipur,380021,23.653194,73.577056,Sabar Kantha,Gujarat,GJ,India
Rajpur Gomtipur,380021,23.0136957,72.620581,Ahmedabad City Taluka,Gujarat,GJ,India
Charanki,382450,22.214827,71.838871,Ahmadabad,Gujarat,GJ,India
Khambhada,382450,22.163145,71.799842,Ahmadabad,Gujarat,GJ,India
Khamidana,382450,21.308581,70.124238,Junagadh,Gujarat,GJ,India
Akru,382250,22.26816,71.996001,Ahmadabad,Gujarat,GJ,India
Navda,382450,22.163508,71.969747,Ahmadabad,Gujarat,GJ,India
Chokdi,382250,23.6059796,72.3814234,Mahesana Taluka,Gujarat,GJ,India
Jeska,382250,,,,,,
Rojid,382450,22.194614,71.888156,Ahmadabad,Gujarat,GJ,India
Polarpur,382250,22.240383,71.920171,Ahmadabad,Gujarat,GJ,India
Vadhela,382450,22.146511,71.973064,Ahmadabad,Gujarat,GJ,India
Valhia,382450,,,,,,
Tagadi,382250,22.294804,71.94572,Ahmadabad,Gujarat,GJ,India
Unchadi,382250,,,,,,
Zinzar,382250,22.299895,71.983798,Ahmadabad,Gujarat,GJ,India
Ambli,382463,22.3258371,72.230266,Dholera Taluka,Gujarat,GJ,India
Bhadiad,382463,,,,,,
Gogla,382463,22.2914227,72.2378826,Dholera Taluka,Gujarat,GJ,India
Gorasu,382463,22.25703,72.135001,Ahmadabad,Gujarat,GJ,India
