Dariapur (Ahmedabad),380001,23.02112,72.585788,"Ahmedabad Municipal Corporation, Ward 39, Ahmedabad - 380001, GJ, India",,,Ahmedabad Municipal Corporation,380001,,Ward 39,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
District Court (Ahmedabad),380001,23.242965,69.665897,"District Court Road, Bhuj -, GJ, India",,,District Court Road,,,,Bhuj,Kachchh,Gujarat,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gandhi Road (Ahmedabad),380001,23.0249552,72.5944259,"Gandhi Road, Revdi Bazar, Ahmedabad - 380001, GJ, India",Gandhi Road,,Gandhi Road,380001,,Revdi Bazar,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gheekanta Road,380001,23.0325872,72.5977218,"Gheekanta Road, Dariyapur, Ahmedabad - 380001, GJ, India",Gheekanta Road,,Gheekanta Road,380001,,Dariyapur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jamalpur (Ahmedabad),380001,23.0057337,72.5740652,"Jamalpur, Sabarmati River front Road, Jamalpur, Ahmedabad - 380001, GJ, India",Jamalpur,,Sabarmati River front Road,380001,,Jamalpur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Khadia,380001,23.02139,72.5892915,"Khadia, Ahmedabad - 380001, GJ, India",Khadia,,,380001,,Khadia,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Khanpur (Ahmedabad),380001,23.031773,72.530662,"Ahmedabad, Ahmadabad, India",,,,,,,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Lal Darwaja,380001,23.02557,72.57693,"Lal Darwaja, Ahmadabad, India",,,,,,,Lal Darwaja,Ahmadabad,Gujarat,GJ,India,in,0,,,CC BY 4.0,https://www.geonames.org/datasources/
,,,,,,,,,,,,,,,,,,,,,
Municipal Corporation,380001,23.02112,72.585788,"Ahmedabad Municipal Corporation, Ward 39, Ahmedabad - 380001, GJ, India",,,Ahmedabad Municipal Corporation,380001,,Ward 39,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Raikhad,380001,23.021623,72.576928,"Raikhad, Ahmedabad, GJ, India",Raikhad,,,,,Raikhad,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Raipur (Ahmedabad),380001,23.031773,72.530662,"Ahmedabad, Ahmadabad, India",,,,,,,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
,,,,,,,,,,,,,,,,,,,,,
Nava Vadaj,380013,23.0674244,72.5611098,"Maruti Orthopedic Hospital, Nava Vadaj, 132 Ft. Ring Road, Akhbar nagar, Ahmedabad - 380013, GJ, India","Maruti Orthopedic Hospital, Nava Vadaj",,132 Ft. Ring Road,380013,,Akhbar nagar,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.729,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shastrinagar (Ahmedabad),380013,23.031773,72.530662,"Ahmedabad, Ahmadabad, India",,,,,,,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
,,,,,,,,,,,,,,,,,,,,,
