city,lat,lng,country,iso2,admin_name,population
Delhi,28.61,77.23,India,IN,Delhi,32226000
Mumbai,19.0761,72.8775,India,IN,Mahārāshtra,24973000
Kolkāta,22.5675,88.37,India,IN,West Bengal,18502000
Bangalore,12.9789,77.5917,India,IN,Karnātaka,15386000
Chennai,13.0825,80.275,India,IN,Tamil Nādu,12395000
Hyderābād,17.385,78.4867,India,IN,Telangāna,10494000
Pune,18.5203,73.8567,India,IN,Mahārāshtra,8231000
Ahmedabad,23.03,72.58,India,IN,Gujarat,8009000
Sūrat,21.1702,72.8311,India,IN,Gujarat,6538000
Prayagraj,25.4358,81.8464,India,IN,Uttar Pradesh,5954391
Lucknow,26.85,80.95,India,IN,Uttar Pradesh,3382000
Jaipur,26.9,75.8,India,IN,Rājasthān,3073350
Cawnpore,26.4499,80.3319,India,IN,Uttar Pradesh,2701324
Mirzāpur,25.146,82.569,India,IN,Uttar Pradesh,2496970
Nāgpur,21.1497,79.0806,India,IN,Mahārāshtra,2405665
Ghāziābād,28.67,77.42,India,IN,Uttar Pradesh,2375820
Vadodara,22.3,73.2,India,IN,Gujarat,2065771
Vishākhapatnam,17.7042,83.2978,India,IN,Andhra Pradesh,2035922
Indore,22.7167,75.8472,India,IN,Madhya Pradesh,1994397
Thāne,19.1972,72.9722,India,IN,Mahārāshtra,1886941
Bhopāl,23.25,77.4167,India,IN,Madhya Pradesh,1798218
Chinchvad,18.6186,73.8037,India,IN,Mahārāshtra,1729320
Patna,25.6,85.1,India,IN,Bihar,1684222
Bilāspur,22.09,82.15,India,IN,Chhattisgarh,1625502
Ludhiāna,30.91,75.85,India,IN,Punjab,1618879
Agwār,27.18,78.02,India,IN,Uttar Pradesh,1585705
Āgra,27.18,78.02,India,IN,Uttar Pradesh,1585704
Madurai,9.9252,78.1198,India,IN,Tamil Nādu,1561129
Jamshedpur,22.7925,86.1842,India,IN,Jharkhand,1558000
Nāsik,20,73.78,India,IN,Mahārāshtra,1486053
Farīdābād,28.4167,77.3,India,IN,Harya�na,1404653
Aurangābād,19.88,75.32,India,IN,Mahārāshtra,1371330
Rājkot,22.3,70.7833,India,IN,Gujarat,1335397
Meerut,28.98,77.71,India,IN,Uttar Pradesh,1305429
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,1267564
Kalamboli,19.2333,73.1333,India,IN,Mahārāshtra,1246381
Vasai,19.47,72.8,India,IN,Mahārāshtra,1222390
Najafgarh,28.6092,76.9798,India,IN,Delhi,1203180
Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,1198491
Srīnagar,34.09,74.79,India,IN,Jammu and Kashmīr,1180570
Dhanbād,23.7998,86.4305,India,IN,Jharkhand,1162472
Amritsar,31.64,74.86,India,IN,Punjab,1132383
Alīgarh,27.88,78.08,India,IN,Uttar Pradesh,1131160
Guwāhāti,26.1722,91.7458,India,IN,Assam,1116267
Hāora,22.58,88.3294,India,IN,West Bengal,1077075
Rānchi,23.36,85.33,India,IN,Jharkhand,1073440
Gwalior,26.2215,78.178,India,IN,Madhya Pradesh,1069276
Chandīgarh,30.75,76.78,India,IN,Chandigarh,1055450
Vijayavāda,16.5193,80.6305,India,IN,Andhra Pradesh,1048240
Jodhpur,26.28,73.02,India,IN,Rājasthān,1033918
Raipur,21.25,81.63,India,IN,Chhattisgarh,1010087
Kota,25.18,75.83,India,IN,Rājasthān,1001694
Kālkāji Devi,28.5485,77.2513,India,IN,Delhi,824177
Bhayandar,19.29,72.85,India,IN,Mahārāshtra,809378
Ambattūr,13.1143,80.1548,India,IN,Tamil Nādu,466205
Salt Lake City,22.61,88.4,India,IN,West Bengal,403316
Bhātpāra,22.87,88.41,India,IN,West Bengal,386019
Kūkatpalli,17.4849,78.4138,India,IN,Andhra Pradesh,385821
Darbhanga,26.17,85.9,India,IN,Bihar,380125
Dāsarhalli,13.0465,77.513,India,IN,Karnātaka,349720
Muzaffarpur,26.1225,85.3906,India,IN,Bihar,333200
Oulgaret,11.957,79.7737,India,IN,Puducherry,300104
New Delhi,28.6139,77.209,India,IN,Delhi,249998
Tiruvottiyūr,13.16,80.3,India,IN,Tamil Nādu,249446
Puducherry,11.9167,79.8167,India,IN,Puducherry,244377
Byatarayanpur,13.0659,77.5922,India,IN,Karnātaka,239902
Pallāvaram,12.9675,80.1491,India,IN,Tamil Nādu,215417
Secunderābād,17.4399,78.4983,India,IN,Andhra Pradesh,213698
Shimla,31.1033,77.1722,India,IN,Himachal Pradesh,206575
Puri,19.8106,85.8314,India,IN,Odisha,201026
Shrīrāmpur,22.75,88.34,India,IN,West Bengal,181842
Hugli,22.9089,88.3967,India,IN,West Bengal,179931
Chandannagar,22.8671,88.3674,India,IN,West Bengal,166867
Sultānpur Mazra,28.6981,77.0689,India,IN,Delhi,163716
Krishnanagar,23.4,88.5,India,IN,West Bengal,153062
Bārākpur,22.7642,88.3776,India,IN,West Bengal,152783
Bhālswa Jahangirpur,28.7354,77.1638,India,IN,Delhi,151427
Nāngloi Jāt,28.6833,77.0667,India,IN,Delhi,150371
Yelahanka,13.1007,77.5963,India,IN,Karnātaka,119891
Titāgarh,22.74,88.37,India,IN,West Bengal,116541
Dam Dam,22.62,88.42,India,IN,West Bengal,114786
Bānsbāria,22.97,88.4,India,IN,West Bengal,103920
Madhavaram,13.1482,80.2314,India,IN,Tamil Nādu,100442
Baj Baj,22.4828,88.1818,India,IN,West Bengal,76837
Nerkunram,13.0667,80.2833,India,IN,Tamil Nādu,52570
Kendrāparha,20.5,86.42,India,IN,Odisha,41404
Sijua,23.7692,86.1673,India,IN,Jharkhand,39372
Manali,13.1667,80.2667,India,IN,Tamil Nādu,37748
Chakapara,22.63,88.35,India,IN,West Bengal,35282
Pāppākurichchi,10.8137,78.7481,India,IN,Tamil Nādu,26889
Herohalli,12.9911,77.4873,India,IN,Karnātaka,23851
Madipakkam,12.9623,80.1986,India,IN,Tamil Nādu,20523
Sabalpur,25.6053,85.1835,India,IN,Bihar,18810
Salua,22.61,88.27,India,IN,West Bengal,15171
Balasore,21.4942,86.9317,India,IN,Odisha,13869
Jālhalli,13.0333,77.55,India,IN,Karnātaka,13063
Chinnasekkadu,13.1609,80.2573,India,IN,Tamil Nādu,12854
Jethuli,25.5378,85.2841,India,IN,Bihar,11572
Nagtala,22.3693,88.6071,India,IN,West Bengal,10419
Bāgalūr,13.1328,77.6685,India,IN,Karnātaka,9925
Pakri,25.5876,85.158,India,IN,Bihar,9768
Hunasamaranhalli,13.1435,77.62,India,IN,Karnātaka,9741
Hesarghatta,13.1391,77.4783,India,IN,Karnātaka,9485
Bommayapālaiyam,11.9922,79.8499,India,IN,Tamil Nādu,8796
Gundūr,10.7339,78.7184,India,IN,Tamil Nādu,8587
Punādih,25.5484,85.2649,India,IN,Bihar,8273
Harilādih,23.63,86.35,India,IN,Jharkhand,7917
Alāwalpur,25.4958,85.2021,India,IN,Bihar,7827
Mādnāikanhalli,13.0626,77.4642,India,IN,Karnātaka,7805
Kādiganahalli,13.1687,77.6283,India,IN,Karnātaka,7225
Mahuli,25.543,85.2268,India,IN,Bihar,6683
Zeyādah Kot,22.321,88.2457,India,IN,West Bengal,6457
Arshakunti,13.0785,77.4225,India,IN,Karnātaka,6262
Hīrāpur,23.6834,87.1973,India,IN,West Bengal,5910
Mirchi,25.5554,85.2139,India,IN,Bihar,5710
Sonudih,25.1155,87.0214,India,IN,Bihar,5658
Sondekoppa,13,77.3667,India,IN,Karnātaka,4866
Babura,25.0851,87.1092,India,IN,Bihar,4755
Mādavar,13.0525,77.4732,India,IN,Karnātaka,4678
Kadabgeri,12.9965,77.4331,India,IN,Karnātaka,4573
Nanmangalam,12.9381,80.1753,India,IN,Tamil Nādu,4386
Taliganja,22.5876,88.4439,India,IN,West Bengal,4278
Tarchha,25.1116,87.0964,India,IN,Bihar,4198
Belgharia,22.5692,88.4846,India,IN,West Bengal,4193
Kammanhalli,13.0155,77.6381,India,IN,Karnātaka,4144
Sonnappanhalli,13.1557,77.6179,India,IN,Karnātaka,3996
Kedihāti,22.6543,88.5304,India,IN,West Bengal,3910
Doddajīvanhalli,13.0086,77.6143,India,IN,Karnātaka,3792
Simli Murārpur,25.5792,85.2401,India,IN,Bihar,3739
Sonāwān,25.5445,85.2387,India,IN,Bihar,3682
Devanandapur,22.9378,88.3698,India,IN,West Bengal,3449
Tribeni,23.0269,88.4565,India,IN,West Bengal,3305
Huttanhalli,13.1651,77.6512,India,IN,Karnātaka,3240
Nathupur,25.5163,85.2544,India,IN,Bihar,3129
Bāli,25.481,85.2227,India,IN,Bihar,3128
Vājarhalli,13.1022,77.4111,India,IN,Karnātaka,3009
