name,lat,lon,country,rate
Dariapur (Ahmedabad),23.02112,72.585788,India,53.25
District Court (Ahmedabad),23.242965,69.665897,India,36.87
Gandhi Road (Ahmedabad),23.0249552,72.5944259,India,21.5
Gheekanta Road,23.0325872,72.5977218,India,10.75
Jamalpur (Ahmedabad),23.0057337,72.5740652,India,68
Khadia,23.02139,72.5892915,India,44.63
Khanpur (Ahmedabad),23.031773,72.530662,India,59.12
Lal Darwaja,23.02557,72.57693,India,12.25
Municipal Corporation,23.02112,72.585788,India,15.5
Raikhad,23.021623,72.576928,India,27.75
Raipur (Ahmedabad),23.031773,72.530662,India,38.25
Nava Vadaj,23.0674244,72.5611098,India,61.75
Shastrinagar (Ahmedabad),23.031773,72.530662,India,65.5
Vadaj,23.052411,72.5697197,India,30.75
Dudheshwar Tavdipura,23.053493,72.582513,India,13.75
Girdharnagar,22.668372,72.983778,India,22.5
Madhupura Market,23.044668,72.58803693,India,8.25
Shahibag,23.055708,72.591694,India,48
Shahpur (Ahmedabad),23.031773,72.530662,India,31.75
Rakhial,23.0204787,72.6385628,India,67.75
Rakhial Udyog Vistar,,,,56.25
Khodiyarnagar,23.764397,71.7166,India,50.25
Sukhrampura,23.0225452,72.6146603,India,39.5
Bodakdev,23.0445921,72.517344,India,26.5
Thaltej Road,23.0504197,72.4988533,India,17
Nikol,23.0589329,72.67187367,India,64.25
Daxini Society,22.99282475,72.61073201,India,52.75
Jawahar Chowk,22.9951368,72.6050988,India,9
L G Hospital,22.9995614,72.6050511,India,42
Maninagar,22.9986596,72.6114013,India,19.5
Vasisthnagar,,,,69.5
Bilasia,,,,11.25
Limbadia,23.124897,72.681614,India,45
Jivraj Park,23.0058276,72.5329319,India,28
Medra,23.1286454,72.7045196,India,37.75
Nana Chiloda,,,,14.25
Bhadaj,23.096244,72.4657337,India,60.25
Naroda,23.0854097,72.6580946,India,55.5
Chandlodia,23.089391,72.5411367,India,18.25
Naroda I E,,,,29.5
Gota,23.10067455,72.53990028,India,66
Pardhol,23.094969,72.724298,India,34
Vehlal,,,,47.25
Nirnaynagar,23.0726444,72.56070728,India,32.5
Lapkaman,23.13151,72.498571,India,20
Digvijaynagar,,,,58
Ognaj,23.1080629,72.5226496,India,41.25
Gyaspur,22.98452765,72.52800795,India,23.25
