,Location,Cluster_Label
0,AHMEDABAD,4
1,AHMEDABAD,0
2,AHMEDABAD,4
3,AHMEDABAD,1
4,AHMEDABAD,4
5,AMRELI,4
6,AMRELI,0
7,AMRELI,4
8,AMRELI,1
9,AMRELI,0
10,ANAND,4
11,ANAND,0
12,ANAND,4
13,ANAND,4
14,ANAND,0
15,ARAVALLI,0
16,ARAVALLI,4
17,ARAVALLI,4
18,ARAVALLI,4
19,ARAVALLI,4
20,BANAS KANTHA,4
21,BANAS KANTHA,0
22,BANAS KANTHA,0
23,BANAS KANTHA,0
24,BANAS KANTHA,0
25,BHARUCH,4
26,BHARUCH,0
27,BHARUCH,4
28,BHARUCH,0
29,BHARUCH,0
30,BHAVNAGAR,4
31,BHAVNAGAR,0
32,BHAVNAGAR,1
33,BHAVNAGAR,2
34,BHAVNAGAR,0
35,BOTAD,4
36,BOTAD,0
37,BOTAD,0
38,BOTAD,0
39,BOTAD,0
40,CHHOTAUDEPUR,3
41,CHHOTAUDEPUR,1
42,CHHOTAUDEPUR,1
43,CHHOTAUDEPUR,0
44,CHHOTAUDEPUR,0
45,DEVBHOOMI DWARKA,0
46,DEVBHOOMI DWARKA,0
47,DEVBHOOMI DWARKA,0
48,DEVBHOOMI DWARKA,0
49,DEVBHOOMI DWARKA,0
50,DOHAD,0
51,DOHAD,1
52,DOHAD,4
53,DOHAD,0
54,DOHAD,0
55,GANDHINAGAR,3
56,GANDHINAGAR,0
57,GANDHINAGAR,3
58,GANDHINAGAR,3
59,GANDHINAGAR,3
60,GIR SOMNATH,0
61,GIR SOMNATH,0
62,GIR SOMNATH,0
63,GIR SOMNATH,4
64,GIR SOMNATH,0
65,JAMNAGAR,4
66,JAMNAGAR,1
67,JAMNAGAR,1
68,JAMNAGAR,1
69,JAMNAGAR,0
70,JUNAGADH,4
71,JUNAGADH,0
72,JUNAGADH,4
73,JUNAGADH,3
74,JUNAGADH,4
75,KACHCHH,0
76,KACHCHH,1
77,KACHCHH,0
78,KACHCHH,1
79,KACHCHH,0
80,KHEDA,0
81,KHEDA,0
82,KHEDA,0
83,KHEDA,0
84,KHEDA,0
85,MAHESANA,4
86,MAHESANA,0
87,MAHESANA,4
88,MAHESANA,0
89,MAHESANA,0
90,MAHISAGAR,4
91,MAHISAGAR,4
92,MAHISAGAR,0
93,MAHISAGAR,4
94,MAHISAGAR,4
95,MORBI,4
96,MORBI,1
97,MORBI,4
98,MORBI,1
99,MORBI,0
100,NARMADA,0
101,NARMADA,4
102,NARMADA,0
103,NARMADA,0
104,NARMADA,0
105,NAVSARI,4
106,NAVSARI,4
107,NAVSARI,0
108,NAVSARI,4
109,NAVSARI,4
110,PANCH MAHALS,4
111,PANCH MAHALS,0
112,PANCH MAHALS,0
113,PANCH MAHALS,0
114,PANCH MAHALS,0
115,PATAN,0
116,PATAN,0
117,PATAN,4
118,PATAN,0
119,PATAN,0
120,PORBANDAR,4
121,PORBANDAR,0
122,PORBANDAR,0
123,PORBANDAR,3
124,PORBANDAR,0
125,RAJKOT,4
126,RAJKOT,0
127,RAJKOT,0
128,RAJKOT,1
129,RAJKOT,0
130,SABAR KANTHA,4
131,SABAR KANTHA,4
132,SABAR KANTHA,4
133,SABAR KANTHA,0
134,SABAR KANTHA,0
135,SURAT,0
136,SURAT,0
137,SURAT,4
138,SURAT,0
139,SURAT,0
140,SURENDRANAGAR,4
141,SURENDRANAGAR,0
142,SURENDRANAGAR,0
143,SURENDRANAGAR,1
144,SURENDRANAGAR,0
145,TAPI,4
146,TAPI,3
147,TAPI,4
148,TAPI,0
149,TAPI,0
150,THE DANGS,4
151,THE DANGS,3
152,THE DANGS,4
153,THE DANGS,0
154,THE DANGS,0
155,VADODARA,4
156,VADODARA,1
157,VADODARA,1
158,VADODARA,1
159,VADODARA,0
160,VALSAD,4
161,VALSAD,4
162,VALSAD,1
163,VALSAD,0
164,VALSAD,0
