Location,Caste
AHMEDABAD,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
AMRELI,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
ANAND,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
ARAVALLI,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
BANAS KANTHA,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
BHARUCH,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
BHAVNAGAR,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
BOTAD,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
CHHOTAUDEPUR,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
DEVBHOOMI DWARKA,"General, General, General, General, General, General, General, General, General, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, OBC, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, Overall, SC, SC, SC, SC, SC, SC, SC, SC, SC, ST, ST, ST, ST, ST, ST, ST, ST, ST"
