,Location,Caste,General_prim_Boys,General_prim_Girls,General_prim_Overall,General_snr_Boys,General_snr_Girls,General_snr_Overall,General_upPrim_Boys,General_upPrim_Girls,General_upPrim_Overall,OBC_prim_Boys,OBC_prim_Girls,OBC_prim_Overall,OBC_snr_Boys,OBC_snr_Girls,OBC_snr_Overall,OBC_upPrim_Boys,OBC_upPrim_Girls,OBC_upPrim_Overall,Overall_prim_Boys,Overall_prim_Girls,Overall_prim_Overall,Overall_snr_Boys,Overall_snr_Girls,Overall_snr_Overall,Overall_upPrim_Boys,Overall_upPrim_Girls,Overall_upPrim_Overall,SC_prim_Boys,SC_prim_Girls,SC_prim_Overall,SC_snr_Boys,SC_snr_Girls,SC_snr_Overall,SC_upPrim_Boys,SC_upPrim_Girls,SC_upPrim_Overall,ST_prim_Boys,ST_prim_Girls,ST_prim_Overall,ST_snr_Boys,ST_snr_Girls,ST_snr_Overall,ST_upPrim_Boys,ST_upPrim_Girls,ST_upPrim_Overall
0,AHMEDABAD,ST,1,2,1,2,7,6,1,1,2,5,7,3,2,6,5,6,4,6,5,1,3,4,1,1,1,2,3,5,1,1,7,6,6,1,3,1,5,2,4,4,6,4,6,4,6
1,AMRELI,ST,5,3,4,2,4,5,4,1,2,5,7,3,7,1,1,4,4,6,5,1,3,2,5,6,6,6,5,7,3,2,7,7,5,1,4,1,5,2,4,2,6,7,3,4,1
2,ANAND,ST,1,5,2,6,3,1,1,6,3,5,7,3,7,5,1,5,5,3,5,1,3,3,4,7,1,2,3,3,2,3,3,6,6,1,2,2,5,2,4,6,2,1,1,5,3
3,ARAVALLI,ST,4,3,3,6,7,7,5,7,6,5,7,3,3,6,5,5,7,3,5,1,3,6,6,3,2,2,3,5,1,1,3,3,6,2,4,2,5,4,4,6,3,1,2,5,4
4,BANAS KANTHA,ST,1,2,1,3,3,7,1,7,1,5,6,2,2,4,5,4,1,1,5,2,3,7,4,6,4,1,2,5,1,1,5,5,4,2,1,6,4,4,6,4,7,3,5,7,6
5,BHARUCH,ST,1,2,1,4,3,1,2,2,3,5,7,3,4,6,1,4,5,5,5,1,3,1,7,7,3,2,5,6,1,1,5,3,6,2,3,1,5,2,4,2,7,4,2,6,2
6,BHAVNAGAR,ST,1,2,1,2,3,7,1,1,2,4,7,2,3,7,6,4,5,6,5,1,3,5,6,2,6,7,7,2,4,6,1,1,2,6,5,3,7,7,7,3,4,5,7,1,7
7,BOTAD,ST,1,4,1,1,6,5,1,6,2,5,7,3,2,1,1,7,4,5,5,1,3,6,2,7,2,4,5,5,1,1,5,5,4,1,1,2,5,4,4,3,1,2,6,4,6
8,CHHOTAUDEPUR,ST,2,6,6,7,1,1,3,3,4,3,1,4,6,6,1,1,1,2,6,5,4,5,6,2,5,5,2,5,1,1,1,1,1,7,7,7,5,2,4,5,2,2,3,6,2
9,DEVBHOOMI DWARKA,ST,5,4,5,4,2,3,2,4,1,4,6,2,6,1,1,4,4,7,5,2,5,1,2,4,7,7,6,5,1,1,2,7,2,2,4,2,5,2,4,3,3,4,1,5,3
10,DOHAD,ST,3,2,4,5,1,4,5,7,6,6,5,6,4,1,2,2,3,1,6,4,6,1,3,4,4,4,1,5,1,1,5,6,5,1,3,1,5,2,4,4,7,4,3,6,2
11,GANDHINAGAR,ST,7,7,7,2,5,5,7,3,7,7,4,1,3,6,5,4,4,7,7,7,7,4,1,1,5,1,2,1,7,4,7,3,6,3,1,6,6,6,1,6,1,2,5,3,6
12,GIR SOMNATH,ST,1,2,1,7,2,2,5,4,5,5,7,3,2,6,5,4,5,7,5,1,3,6,7,3,7,7,6,5,2,1,3,3,6,3,2,6,3,2,6,7,3,1,1,5,3
