,Location,Caste,Boys,Girls,Overall,Boys.2,Girls.2,Overall.2,Boys.1,Girls.1,Overall.1
0,AHMEDABAD,General,1,2,1,2,7,6,1,1,2
1,AMRELI,General,5,3,4,2,4,5,4,1,2
2,ANAND,General,1,5,2,6,3,1,1,6,3
3,ARAVALLI,General,4,3,3,6,7,7,5,7,6
4,BANAS KANTHA,General,1,2,1,3,3,7,1,7,1
5,BHARUCH,General,1,2,1,4,3,1,2,2,3
6,BHAVNAGAR,General,1,2,1,2,3,7,1,1,2
7,BOTAD,General,1,4,1,1,6,5,1,6,2
8,CHHOTAUDEPUR,General,2,6,6,7,1,1,3,3,4
9,DEVBHOOMI DWARKA,General,5,4,5,4,2,3,2,4,1
10,DOHAD,General,3,2,4,5,1,4,5,7,6
11,GANDHINAGAR,General,7,7,7,2,5,5,7,3,7
12,GIR SOMNATH,General,1,2,1,7,2,2,5,4,5
13,JAMNAGAR,General,1,2,1,3,5,6,1,1,2
14,JUNAGADH,General,6,4,5,3,5,6,1,1,2
15,KACHCHH,General,1,2,1,4,3,1,6,5,4
16,KHEDA,General,1,2,1,4,3,1,3,4,6
17,MAHESANA,General,5,5,5,6,7,2,4,6,1
18,MAHISAGAR,General,1,2,1,6,3,2,1,1,2
19,MORBI,General,1,2,1,1,5,5,1,1,2
20,NARMADA,General,1,2,1,4,2,3,2,5,6
21,NAVSARI,General,6,2,2,7,7,7,2,1,3
22,PANCH MAHALS,General,1,2,1,6,3,2,4,2,3
23,PATAN,General,4,1,3,6,6,2,5,4,5
24,PORBANDAR,General,1,1,1,6,7,7,1,7,2
25,RAJKOT,General,1,2,1,1,4,5,1,1,2
26,SABAR KANTHA,General,5,1,3,7,7,7,1,2,2
27,SURAT,General,5,5,5,3,7,7,5,7,5
28,SURENDRANAGAR,General,1,2,1,2,7,6,2,1,3
29,TAPI,General,1,2,1,7,3,2,1,2,2
30,THE DANGS,General,1,2,1,1,4,5,1,1,2
31,VADODARA,General,1,2,1,7,7,7,1,1,2
32,VALSAD,General,1,2,1,7,6,7,2,6,1
33,AHMEDABAD,OBC,5,7,3,2,6,5,6,4,6
34,AMRELI,OBC,5,7,3,7,1,1,4,4,6
35,ANAND,OBC,5,7,3,7,5,1,5,5,3
36,ARAVALLI,OBC,5,7,3,3,6,5,5,7,3
37,BANAS KANTHA,OBC,5,6,2,2,4,5,4,1,1
38,BHARUCH,OBC,5,7,3,4,6,1,4,5,5
39,BHAVNAGAR,OBC,4,7,2,3,7,6,4,5,6
40,BOTAD,OBC,5,7,3,2,1,1,7,4,5
41,CHHOTAUDEPUR,OBC,3,1,4,6,6,1,1,1,2
42,DEVBHOOMI DWARKA,OBC,4,6,2,6,1,1,4,4,7
43,DOHAD,OBC,6,5,6,4,1,2,2,3,1
44,GANDHINAGAR,OBC,7,4,1,3,6,5,4,4,7
45,GIR SOMNATH,OBC,5,7,3,2,6,5,4,5,7
46,JAMNAGAR,OBC,2,4,5,6,1,2,1,1,2
47,JUNAGADH,OBC,5,6,3,2,6,5,6,5,5
48,KACHCHH,OBC,5,7,3,4,1,2,2,1,1
49,KHEDA,OBC,5,7,3,7,1,1,7,5,5
50,MAHESANA,OBC,5,7,3,6,5,1,7,5,5
51,MAHISAGAR,OBC,5,7,3,3,6,6,5,6,3
52,MORBI,OBC,5,6,2,6,1,2,3,2,2
53,NARMADA,OBC,5,7,3,2,4,5,5,7,4
54,NAVSARI,OBC,5,7,3,1,7,7,7,7,3
55,PANCH MAHALS,OBC,5,7,3,7,5,1,6,5,5
56,PATAN,OBC,5,7,3,7,1,1,6,4,6
57,PORBANDAR,OBC,4,7,3,2,6,5,4,5,6
58,RAJKOT,OBC,7,4,1,7,4,4,2,3,1
