Location,General_prim_Girls,Social Category
AHMEDABAD,0.0,General
AMRELI,1.07,General
ANAND,0.53,General
ARAVALLI,1.17,General
BANAS KANTHA,0.0,General
BHARUCH,0.0,General
BHAVNAGAR,0.0,General
BOTAD,0.69,General
CHHOTAUDEPUR,6.22,General
DEVBHOOMI DWARKA,0.68,General
DOHAD,0.0,General
GANDHINAGAR,16.51,General
GIR SOMNATH,0.0,General
JAMNAGAR,0.0,General
JUNAGADH,0.74,General
KACHCHH,0.0,General
KHEDA,0.19,General
MAHESANA,0.38,General
MAHISAGAR,0.0,General
MORBI,0.0,General
NARMADA,0.0,General
NAVSARI,0.06,General
PANCH MAHALS,0.0,General
PATAN,1.98,General
PORBANDAR,2.37,General
RAJKOT,0.0,General
SABAR KANTHA,2.22,General
SURAT,0.34,General
SURENDRANAGAR,0.0,General
TAPI,0.0,General
THE DANGS,0.0,General
VADODARA,0.0,General
VALSAD,0.0,General
