Location,General_prim_Overall,Social Category
AHMEDABAD,0.0,General
AMRELI,1.41,General
ANAND,0.23,General
ARAVALLI,1.91,General
BANAS KANTHA,0.0,General
BHARUCH,0.0,General
BHAVNAGAR,0.0,General
BOTAD,0.0,General
CHHOTAUDEPUR,5.59,General
DEVBHOOMI DWARKA,1.17,General
DOHAD,1.48,General
GANDHINAGAR,17.5,General
GIR SOMNATH,0.0,General
JAMNAGAR,0.0,General
JUNAGADH,0.89,General
KACHCHH,0.0,General
KHEDA,0.0,General
MAHESANA,1.06,General
MAHISAGAR,0.0,General
MORBI,0.0,General
NARMADA,0.0,General
NAVSARI,0.34,General
PANCH MAHALS,0.0,General
PATAN,2.32,General
PORBANDAR,0.0,General
RAJKOT,0.0,General
SABAR KANTHA,1.8,General
SURAT,0.93,General
SURENDRANAGAR,0.0,General
TAPI,0.0,General
THE DANGS,0.0,General
VADODARA,0.0,General
VALSAD,0.0,General
