Location,General_snr_Girls
AHMEDABAD,8.0
AMRELI,0.0
ANAND,16.06
ARAVALLI,7.82
BANAS KANTHA,15.37
BHARUCH,14.49
BHAVNAGAR,16.45
BOTAD,10.26
CHHOTAUDEPUR,27.75
DEVBHOOMI DWARKA,18.97
DOHAD,24.46
GANDHINAGAR,1.83
GIR SOMNATH,19.02
JAMNAGAR,3.01
JUNAGADH,2.25
KACHCHH,13.77
KHEDA,14.95
MAHESANA,8.42
MAHISAGAR,13.82
MORBI,3.45
NARMADA,20.23
NAVSARI,6.74
PANCH MAHALS,14.76
PATAN,10.48
PORBANDAR,6.2
RAJKOT,0.0
SABAR KANTHA,5.97
SURAT,7.92
SURENDRANAGAR,6.32
TAPI,17.42
THE DANGS,0.0
VADODARA,5.81
VALSAD,10.61
