Location,General_upPrim_Girls,Social Category
AHMEDABAD,0.0,General
AMRELI,0.0,General
ANAND,2.5,General
ARAVALLI,4.81,General
BANAS KANTHA,5.07,General
BHARUCH,0.7,General
BHAVNAGAR,0.0,General
BOTAD,2.37,General
CHHOTAUDEPUR,12.31,General
DEVBHOOMI DWARKA,6.24,General
DOHAD,3.35,General
GANDHINAGAR,12.1,General
GIR SOMNATH,6.33,General
JAMNAGAR,0.0,General
JUNAGADH,0.19,General
KACHCHH,8.77,General
KHEDA,6.09,General
MAHESANA,2.13,General
MAHISAGAR,0.0,General
MORBI,0.11,General
NARMADA,7.58,General
NAVSARI,0.32,General
PANCH MAHALS,0.51,General
PATAN,6.07,General
PORBANDAR,4.18,General
RAJKOT,0.0,General
SABAR KANTHA,1.17,General
SURAT,5.19,General
SURENDRANAGAR,0.0,General
TAPI,1.24,General
THE DANGS,0.0,General
VADODARA,0.0,General
VALSAD,2.27,General
