Location,OBC_prim_Girls,Social Category
AHMEDABAD,0.0,OBC
AMRELI,0.0,OBC
ANAND,0.0,OBC
ARAVALLI,0.0,OBC
BANAS KANTHA,0.66,OBC
BHARUCH,0.0,OBC
BHAVNAGAR,0.07,OBC
BOTAD,0.0,OBC
CHHOTAUDEPUR,6.2,OBC
DEVBHOOMI DWARKA,0.82,OBC
DOHAD,3.39,OBC
GANDHINAGAR,2.01,OBC
GIR SOMNATH,0.0,OBC
JAMNAGAR,2.36,OBC
JUNAGADH,0.61,OBC
KACHCHH,0.0,OBC
KHEDA,0.0,OBC
MAHESANA,0.0,OBC
MAHISAGAR,0.0,OBC
MORBI,0.59,OBC
NARMADA,0.0,OBC
NAVSARI,0.27,OBC
PANCH MAHALS,0.0,OBC
PATAN,0.0,OBC
PORBANDAR,0.0,OBC
RAJKOT,2.2,OBC
SABAR KANTHA,0.03,OBC
SURAT,0.0,OBC
SURENDRANAGAR,0.27,OBC
TAPI,4.42,OBC
THE DANGS,8.31,OBC
VADODARA,6.12,OBC
VALSAD,2.75,OBC
