Location,OBC_prim_Overall,Social Category
AHMEDABAD,0.0,OBC
AMRELI,0.0,OBC
ANAND,0.0,OBC
ARAVALLI,0.0,OBC
BANAS KANTHA,0.38,OBC
BHARUCH,0.0,OBC
BHAVNAGAR,0.49,OBC
BOTAD,0.0,OBC
CHHOTAUDEPUR,7.72,OBC
DEVBHOOMI DWARKA,0.76,OBC
DOHAD,3.46,OBC
GANDHINAGAR,1.83,OBC
GIR SOMNATH,0.0,OBC
JAMNAGAR,4.75,OBC
JUNAGADH,0.22,OBC
KACHCHH,0.0,OBC
KHEDA,0.0,OBC
MAHESANA,0.0,OBC
MAHISAGAR,0.0,OBC
MORBI,0.44,OBC
NARMADA,0.0,OBC
NAVSARI,0.24,OBC
PANCH MAHALS,0.0,OBC
PATAN,0.0,OBC
PORBANDAR,0.0,OBC
RAJKOT,2.29,OBC
SABAR KANTHA,0.0,OBC
SURAT,0.0,OBC
SURENDRANAGAR,0.13,OBC
TAPI,4.13,OBC
THE DANGS,6.73,OBC
VADODARA,5.6,OBC
VALSAD,1.85,OBC
