Location,OBC_snr_Boys
AHMEDABAD,20.13
AMRELI,25.75
ANAND,26.46
ARAVALLI,18.38
BANAS KANTHA,19.6
BHARUCH,33.62
BHAVNAGAR,18.08
BOTAD,20.75
CHHOTAUDEPUR,29.33
DEVBHOOMI DWARKA,28.18
DOHAD,35.11
GANDHINAGAR,17.94
GIR SOMNATH,19.85
JAMNAGAR,29.47
JUNAGADH,20.5
KACHCHH,33.29
KHEDA,23.57
MAHESANA,27.91
MAHISAGAR,15.93
MORBI,28.97
NARMADA,20.13
NAVSARI,10.59
PANCH MAHALS,24.81
PATAN,23.29
PORBANDAR,20.91
RAJKOT,22.81
SABAR KANTHA,19.51
SURAT,14.92
SURENDRANAGAR,22.29
TAPI,20.69
THE DANGS,32.69
VADODARA,39.67
VALSAD,6.87
