Location,OBC_snr_Girls,Social Category
AHMEDABAD,17.23,OBC
AMRELI,26.4,OBC
ANAND,23.82,OBC
ARAVALLI,16.61,OBC
BANAS KANTHA,20.36,OBC
BHARUCH,17.43,OBC
BHAVNAGAR,12.09,OBC
BOTAD,27.15,OBC
CHHOTAUDEPUR,17.11,OBC
DEVBHOOMI DWARKA,25.96,OBC
DOHAD,27.86,OBC
GANDHINAGAR,17.27,OBC
GIR SOMNATH,17.55,OBC
JAMNAGAR,28.75,OBC
JUNAGADH,15.9,OBC
KACHCHH,26.94,OBC
KHEDA,26.93,OBC
MAHESANA,21.84,OBC
MAHISAGAR,16.03,OBC
MORBI,28.62,OBC
NARMADA,19.34,OBC
NAVSARI,7.7,OBC
PANCH MAHALS,22.15,OBC
PATAN,26.41,OBC
PORBANDAR,14.84,OBC
RAJKOT,18.29,OBC
SABAR KANTHA,19.28,OBC
SURAT,12.7,OBC
SURENDRANAGAR,22.18,OBC
TAPI,0.34,OBC
THE DANGS,15.56,OBC
VADODARA,33.6,OBC
VALSAD,3.12,OBC
