Location,OBC_snr_Overall
AHMEDABAD,18.96
AMRELI,26.03
ANAND,25.38
ARAVALLI,17.57
BANAS KANTHA,19.89
BHARUCH,26.34
BHAVNAGAR,15.44
BOTAD,23.35
CHHOTAUDEPUR,23.9
DEVBHOOMI DWARKA,27.2
DOHAD,31.78
GANDHINAGAR,17.67
GIR SOMNATH,18.79
JAMNAGAR,29.14
JUNAGADH,18.4
KACHCHH,30.72
KHEDA,25.02
MAHESANA,25.42
MAHISAGAR,15.97
MORBI,28.83
NARMADA,19.74
NAVSARI,9.25
PANCH MAHALS,23.6
PATAN,24.55
PORBANDAR,18.08
RAJKOT,20.85
SABAR KANTHA,19.41
SURAT,13.96
SURENDRANAGAR,22.24
TAPI,11.99
THE DANGS,24.74
VADODARA,37.06
VALSAD,5.13
