Location,OBC_upPrim_Girls,Social Category
AHMEDABAD,7.17,OBC
AMRELI,6.68,OBC
ANAND,4.12,OBC
ARAVALLI,1.8,OBC
BANAS KANTHA,12.7,OBC
BHARUCH,4.68,OBC
BHAVNAGAR,5.68,OBC
BOTAD,7.22,OBC
CHHOTAUDEPUR,12.69,OBC
DEVBHOOMI DWARKA,7.62,OBC
DOHAD,8.93,OBC
GANDHINAGAR,8.05,OBC
GIR SOMNATH,5.79,OBC
JAMNAGAR,12.82,OBC
JUNAGADH,4.13,OBC
KACHCHH,12.37,OBC
KHEDA,4.76,OBC
MAHESANA,6.13,OBC
MAHISAGAR,3.35,OBC
MORBI,14.38,OBC
NARMADA,1.22,OBC
NAVSARI,1.53,OBC
PANCH MAHALS,5.27,OBC
PATAN,7.69,OBC
PORBANDAR,5.16,OBC
RAJKOT,9.19,OBC
SABAR KANTHA,3.02,OBC
SURAT,8.07,OBC
SURENDRANAGAR,12.26,OBC
TAPI,7.48,OBC
THE DANGS,13.94,OBC
VADODARA,16.23,OBC
VALSAD,3.27,OBC
