Location,SC_prim_Boys,Social Category
AHMEDABAD,0.0,SC
AMRELI,1.11,SC
ANAND,3.99,SC
ARAVALLI,0.1,SC
BANAS KANTHA,0.0,SC
BHARUCH,1.55,SC
BHAVNAGAR,9.22,SC
BOTAD,0.11,SC
CHHOTAUDEPUR,0.0,SC
DEVBHOOMI DWARKA,0.0,SC
DOHAD,0.0,SC
GANDHINAGAR,11.04,SC
GIR SOMNATH,0.0,SC
JAMNAGAR,10.25,SC
JUNAGADH,0.0,SC
KACHCHH,1.9,SC
KHEDA,1.11,SC
MAHESANA,0.0,SC
MAHISAGAR,0.0,SC
MORBI,0.0,SC
NARMADA,0.0,SC
NAVSARI,0.0,SC
PANCH MAHALS,0.62,SC
PATAN,0.0,SC
PORBANDAR,3.37,SC
RAJKOT,0.94,SC
SABAR KANTHA,0.0,SC
SURAT,0.0,SC
SURENDRANAGAR,1.63,SC
TAPI,0.0,SC
THE DANGS,0.0,SC
VADODARA,6.55,SC
VALSAD,11.36,SC
