Location,SC_prim_Girls,Social Category
AHMEDABAD,0.0,SC
AMRELI,3.31,SC
ANAND,1.71,SC
ARAVALLI,0.0,SC
BANAS KANTHA,0.0,SC
BHARUCH,0.0,SC
BHAVNAGAR,8.04,SC
BOTAD,0.0,SC
CHHOTAUDEPUR,0.0,SC
DEVBHOOMI DWARKA,0.0,SC
DOHAD,0.0,SC
GANDHINAGAR,16.13,SC
GIR SOMNATH,1.3,SC
JAMNAGAR,6.64,SC
JUNAGADH,0.68,SC
KACHCHH,0.31,SC
KHEDA,2.58,SC
MAHESANA,0.44,SC
MAHISAGAR,0.0,SC
MORBI,0.0,SC
NARMADA,0.0,SC
NAVSARI,0.0,SC
PANCH MAHALS,0.0,SC
PATAN,1.96,SC
PORBANDAR,0.0,SC
RAJKOT,0.0,SC
SABAR KANTHA,0.0,SC
SURAT,0.0,SC
SURENDRANAGAR,2.47,SC
TAPI,0.0,SC
THE DANGS,0.0,SC
VADODARA,5.05,SC
VALSAD,10.8,SC
