Location,SC_prim_Overall,Social Category
AHMEDABAD,0.0,SC
AMRELI,2.19,SC
ANAND,2.9,SC
ARAVALLI,0.0,SC
BANAS KANTHA,0.0,SC
BHARUCH,0.18,SC
BHAVNAGAR,8.66,SC
BOTAD,0.0,SC
CHHOTAUDEPUR,0.0,SC
DEVBHOOMI DWARKA,0.0,SC
DOHAD,0.0,SC
GANDHINAGAR,13.42,SC
GIR SOMNATH,0.0,SC
JAMNAGAR,8.54,SC
JUNAGADH,0.16,SC
KACHCHH,1.14,SC
KHEDA,1.8,SC
MAHESANA,0.0,SC
MAHISAGAR,0.0,SC
MORBI,0.0,SC
NARMADA,0.0,SC
NAVSARI,0.0,SC
PANCH MAHALS,0.31,SC
PATAN,0.56,SC
PORBANDAR,1.75,SC
RAJKOT,0.26,SC
SABAR KANTHA,0.0,SC
SURAT,0.0,SC
SURENDRANAGAR,2.03,SC
TAPI,0.0,SC
THE DANGS,0.0,SC
VADODARA,5.87,SC
VALSAD,11.1,SC
