Location,SC_snr_Boys,Social Category
AHMEDABAD,14.03,SC
AMRELI,15.36,SC
ANAND,8.03,SC
ARAVALLI,10.63,SC
BANAS KANTHA,23.29,SC
BHARUCH,20.51,SC
BHAVNAGAR,29.16,SC
BOTAD,22.58,SC
CHHOTAUDEPUR,31.52,SC
DEVBHOOMI DWARKA,35.01,SC
DOHAD,19.18,SC
GANDHINAGAR,15.75,SC
GIR SOMNATH,9.98,SC
JAMNAGAR,33.41,SC
JUNAGADH,15.42,SC
KACHCHH,27.92,SC
KHEDA,30.49,SC
MAHESANA,20.49,SC
MAHISAGAR,18.56,SC
MORBI,17.71,SC
NARMADA,39.29,SC
NAVSARI,20.57,SC
PANCH MAHALS,28.05,SC
PATAN,17.01,SC
PORBANDAR,21.56,SC
RAJKOT,18.24,SC
SABAR KANTHA,12.17,SC
SURAT,14.87,SC
SURENDRANAGAR,19.77,SC
TAPI,14.84,SC
THE DANGS,0.0,SC
VADODARA,36.39,SC
VALSAD,26.68,SC
