Location,SC_snr_Girls,Social Category
AHMEDABAD,9.89,SC
AMRELI,17.2,SC
ANAND,12.2,SC
ARAVALLI,3.75,SC
BANAS KANTHA,22.15,SC
BHARUCH,5.49,SC
BHAVNAGAR,28.74,SC
BOTAD,19.08,SC
CHHOTAUDEPUR,36.24,SC
DEVBHOOMI DWARKA,15.93,SC
DOHAD,10.52,SC
GANDHINAGAR,5.87,SC
GIR SOMNATH,8.88,SC
JAMNAGAR,33.58,SC
JUNAGADH,11.81,SC
KACHCHH,19.97,SC
KHEDA,20.69,SC
MAHESANA,11.54,SC
MAHISAGAR,7.05,SC
MORBI,21.8,SC
NARMADA,55.56,SC
NAVSARI,12.02,SC
PANCH MAHALS,14.67,SC
PATAN,13.39,SC
PORBANDAR,14.41,SC
RAJKOT,5.84,SC
SABAR KANTHA,8.27,SC
SURAT,7.34,SC
SURENDRANAGAR,12.72,SC
TAPI,13.19,SC
THE DANGS,0.0,SC
VADODARA,23.34,SC
VALSAD,16.08,SC
