Location,SC_upPrim_Girls,Social Category
AHMEDABAD,0.0,SC
AMRELI,2.05,SC
ANAND,4.11,SC
ARAVALLI,1.94,SC
BANAS KANTHA,7.67,SC
BHARUCH,0.0,SC
BHAVNAGAR,14.91,SC
BOTAD,6.58,SC
CHHOTAUDEPUR,40.91,SC
DEVBHOOMI DWARKA,1.36,SC
DOHAD,0.0,SC
GANDHINAGAR,9.3,SC
GIR SOMNATH,4.81,SC
JAMNAGAR,16.95,SC
JUNAGADH,2.35,SC
KACHCHH,7.46,SC
KHEDA,8.24,SC
MAHESANA,1.9,SC
MAHISAGAR,8.24,SC
MORBI,3.22,SC
NARMADA,0.0,SC
NAVSARI,2.83,SC
PANCH MAHALS,4.18,SC
PATAN,3.24,SC
PORBANDAR,4.3,SC
RAJKOT,4.29,SC
SABAR KANTHA,0.04,SC
SURAT,1.2,SC
SURENDRANAGAR,7.44,SC
TAPI,0.0,SC
THE DANGS,0.0,SC
VADODARA,8.34,SC
VALSAD,22.43,SC
