Location,ST_prim_Boys,Social Category
AHMEDABAD,0.0,ST
AMRELI,0.0,ST
ANAND,0.0,ST
ARAVALLI,0.0,ST
BANAS KANTHA,2.39,ST
BHARUCH,0.0,ST
BHAVNAGAR,24.89,ST
BOTAD,0.0,ST
CHHOTAUDEPUR,0.0,ST
DEVBHOOMI DWARKA,0.0,ST
DOHAD,0.0,ST
GANDHINAGAR,0.47,ST
GIR SOMNATH,4.21,ST
JAMNAGAR,5.82,ST
JUNAGADH,3.09,ST
KACHCHH,5.53,ST
KHEDA,0.0,ST
MAHESANA,2.53,ST
MAHISAGAR,0.0,ST
MORBI,6.6,ST
NARMADA,1.21,ST
NAVSARI,0.0,ST
PANCH MAHALS,0.0,ST
PATAN,0.0,ST
PORBANDAR,7.58,ST
RAJKOT,4.83,ST
SABAR KANTHA,0.55,ST
SURAT,0.48,ST
SURENDRANAGAR,3.26,ST
TAPI,2.23,ST
THE DANGS,2.5,ST
VADODARA,2.4,ST
VALSAD,1.0,ST
