Location,ST_prim_Overall,Social Category
AHMEDABAD,0.0,ST
AMRELI,0.0,ST
ANAND,0.0,ST
ARAVALLI,0.48,ST
BANAS KANTHA,2.06,ST
BHARUCH,0.0,ST
BHAVNAGAR,26.6,ST
BOTAD,0.0,ST
CHHOTAUDEPUR,0.0,ST
DEVBHOOMI DWARKA,0.0,ST
DOHAD,0.0,ST
GANDHINAGAR,6.87,ST
GIR SOMNATH,1.71,ST
JAMNAGAR,5.49,ST
JUNAGADH,3.67,ST
KACHCHH,4.82,ST
KHEDA,0.0,ST
MAHESANA,1.36,ST
MAHISAGAR,0.0,ST
MORBI,9.41,ST
NARMADA,2.12,ST
NAVSARI,0.28,ST
PANCH MAHALS,0.0,ST
PATAN,0.0,ST
PORBANDAR,6.35,ST
RAJKOT,2.52,ST
SABAR KANTHA,0.66,ST
SURAT,0.29,ST
SURENDRANAGAR,0.0,ST
TAPI,1.91,ST
THE DANGS,2.24,ST
VADODARA,3.47,ST
VALSAD,0.94,ST
