Location,ST_snr_Boys
AHMEDABAD,25.31
AMRELI,34.37
ANAND,22.92
ARAVALLI,21.4
BANAS KANTHA,26.47
BHARUCH,31.79
BHAVNAGAR,37.91
BOTAD,36.53
CHHOTAUDEPUR,14.23
DEVBHOOMI DWARKA,38.29
DOHAD,24.83
GANDHINAGAR,20.3
GIR SOMNATH,17.09
JAMNAGAR,26.68
JUNAGADH,17.03
KACHCHH,45.16
KHEDA,38.2
MAHESANA,13.19
MAHISAGAR,18.23
MORBI,44.44
NARMADA,18.87
NAVSARI,19.21
PANCH MAHALS,26.0
PATAN,33.33
PORBANDAR,16.87
RAJKOT,35.77
SABAR KANTHA,18.48
SURAT,21.3
SURENDRANAGAR,37.82
TAPI,12.91
THE DANGS,20.54
VADODARA,39.73
VALSAD,17.35
