Location,ST_snr_Overall
AHMEDABAD,27.06
AMRELI,34.07
ANAND,17.46
ARAVALLI,17.77
BANAS KANTHA,23.49
BHARUCH,26.93
BHAVNAGAR,38.79
BOTAD,10.22
CHHOTAUDEPUR,13.15
DEVBHOOMI DWARKA,28.9
DOHAD,25.52
GANDHINAGAR,13.79
GIR SOMNATH,15.8
JAMNAGAR,30.72
JUNAGADH,11.98
KACHCHH,42.28
KHEDA,35.76
MAHESANA,12.27
MAHISAGAR,16.96
MORBI,42.47
NARMADA,17.7
NAVSARI,16.35
PANCH MAHALS,22.3
PATAN,32.02
PORBANDAR,14.12
RAJKOT,31.75
SABAR KANTHA,16.5
SURAT,18.2
SURENDRANAGAR,41.15
TAPI,11.57
THE DANGS,18.56
VADODARA,35.71
VALSAD,15.81
