DNo,Location,Social Category,Income,prim_Girls_social_cat,prim_Girls_income,prim_Boys_social_cat,prim_Boys_income,prim_Overall_social_cat,prim_Overall_income,upPrim_Girls_social_cat,upPrim_Girls_income,upPrim_Boys_social_cat,upPrim_Boys_income,upPrim_Overall_social_cat,upPrim_Overall_income,snr_Girls_social_cat,snr_Girls_income,snr_Boys_social_cat,snr_Boys_income,snr_Overall_social_cat,snr_Overall_income
10001,ANANTAPUR,General,High,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766,0.062340826,99.93766
10001,ANANTAPUR,SC,High,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635,0.08365606,99.91635
10001,ANANTAPUR,ST,High,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492,0.47507718,99.52492
10001,ANANTAPUR,Overall,High,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313,1.0768753,98.92313
10002,CHITTOOR,General,High,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714,0.21285962,99.78714
10002,CHITTOOR,SC,High,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015,0.9859789,99.014015
10002,CHITTOOR,ST,High,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775,1.7322518,98.26775
10002,CHITTOOR,Overall,High,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052,0.19948152,99.80052
10003,EASTGODAVARI,General,High,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346,9.816541,90.18346
10003,EASTGODAVARI,OBC,High,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366,16.663404,83.3366
10003,EASTGODAVARI,SC,High,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415,42.615845,57.38415
10003,EASTGODAVARI,ST,High,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815,0.7418542,99.25815
10003,EASTGODAVARI,Overall,High,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468,32.915325,67.08468
10004,GUNTUR,General,High,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405,0.62559426,99.374405
10004,GUNTUR,OBC,High,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732,15.9926815,84.00732
10004,GUNTUR,SC,High,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157,2.848425,97.15157
10004,GUNTUR,ST,High,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362,0.63800365,99.362
10004,GUNTUR,Overall,High,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522,0.104777075,99.89522
10005,KADAPA,General,High,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148,22.438524,77.56148
10005,KADAPA,OBC,High,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268,1.3673153,98.63268
10005,KADAPA,SC,High,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955,0.4180449,99.581955
10005,KADAPA,ST,High,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963,1.2503617,98.74963
10005,KADAPA,Overall,High,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884,0.81115776,99.18884
10006,KRISHNA,General,High,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863,0.70136946,99.29863
10006,KRISHNA,OBC,High,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937,0.07062632,99.92937
10006,KRISHNA,SC,High,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785,2.81215,97.18785
10006,KRISHNA,ST,High,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601,1.5339881,98.46601
10006,KRISHNA,Overall,High,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148,0.9985268,99.00148
10007,KURNOOL,SC,High,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454,42.832546,57.167454
10007,KURNOOL,ST,High,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724,1.164274,98.835724
10007,KURNOOL,Overall,High,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239,0.2176227,99.78239
10008,NELLORE,General,High,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199,0.11800302,99.88199
10008,NELLORE,OBC,High,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915,1.9908468,98.00915
10008,NELLORE,SC,High,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353,0.45646662,99.54353
10008,NELLORE,ST,High,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193,37.865803,62.134193
10008,NELLORE,Overall,High,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664,35.163357,64.83664
10009,PRAKASAM,General,High,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207,0.6179324,99.38207
10009,PRAKASAM,OBC,High,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444,1.0355644,98.96444
10009,PRAKASAM,SC,High,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023,38.541977,61.458023
