Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Dropout Rate,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,India/ State /UT,,Primary (1 to 5),,,Upper Primary (6-8),,,,Secondary (9-10),
,,Boys,Girls,Total,Boys,Girls,Total,,Boys,Girls,Total
,(1),(2),(3),(4),(5),(6),(7),,(8),(9),(10)
India,,,1.7 1.2,1.5,,2.2 3.0,,2.6,17.0,15.1,16.1
Andaman and Nicobar,,,,,,,,,,,
Islands,,,0.7 0.3,0.5,,0.0 0.0,,0.0,19.1,12.3,15.7
Andhra Pradesh,,,0.0 0.0,0.0,,0.3 0.2,,0.3,17.2,12.2,14.8
Arunachal Pradesh,,,7.8 4.6,6.2,,7.7 7.2,,7.5,37.6,30.9,34.3
Assam,,,5.1 3.6,4.3,,4.8 2.1,,3.4,31.5,32.9,32.3
Bihar,,,3.0 1.5,2.3,,8.6 9.2,,8.9,20.0,22.7,21.4
Chandigarh,,,0.0 0.0,0.0,,0.3 0.3,,0.3,5.9,3.3,4.7
Chhattisgarh,,,1.4 0.6,1.0,,4.6 3.1,,3.8,19.4,17.2,18.3
Dadra and Nagar Haveli,,,0.0 0.0,0.0,,1.1 1.2,,1.1,22.8,17.3,20.3
Daman and Diu,,,0.0 0.2,0.0,,0.5 0.0,,0.0,23.2,16.5,20.0
Delhi,,,0.0 0.0,0.0,,0.0 0.2,,0.1,15.6,11.8,13.8
Goa,,,0.3 0.2,0.3,,0.0 0.2,,0.0,12.8,7.2,10.2
Gujarat,,,1.0 0.9,1.0,,3.5 7.2,,5.2,26.0,20.7,23.7
Haryana,,,0.0 0.0,0.0,,1.3 2.5,,1.8,14.4,12.0,13.3
Himachal Pradesh,,,0.9 0.8,0.9,,0.2 1.0,,0.6,8.4,5.9,7.2
Jammu and Kashmir,,,3.9 3.9,3.9,,3.1 3.4,,3.2,16.7,16.6,16.7
Jharkhand,,,7.3 5.3,6.3,,9.0 7.9,,8.5,16.2,17.0,16.6
Karnataka,,,1.4 0.9,1.2,,2.7 2.3,,2.5,19.4,14.1,16.8
Kerala,,,0.0 0.0,0.0,,0.0 0.0,,0.0,9.8,5.9,7.9
Ladakh,,,0.0 0.0,0.0,,0.0 0.0,,0.0,0.0,0.0,0.0
Lakshadweep,,,0.0 0.0,0.0,,0.0 0.4,,0.0,10.6,2.7,6.7
Madhya Pradesh,,,0.9 0.7,0.8,,3.6 4.7,,4.1,24.4,21.8,23.2
Maharashtra,,,0.0 0.1,0.0,,0.7 1.5,,1.1,16.2,14.0,15.2
Manipur,,,8.8 8.7,8.8,,4.4 3.6,,4.0,9.3,9.2,9.2
Meghalaya,,,7.9 6.1,7.0,,9.5 6.6,,8.0,22.8,21.8,22.2
Mizoram,,,8.0 7.6,7.8,,3.8 1.2,,2.5,23.2,17.5,20.4
Nagaland,,,4.9 3.5,4.2,,6.9 3.9,,5.4,21.7,20.7,21.2
Odisha,,,0.8 0.8,0.8,,4.9 4.1,,4.5,25.2,21.9,23.6
Puducherry,,,0.0 0.0,0.0,,0.0 0.0,,0.0,10.8,4.9,7.9
Punjab,,,0.0 0.0,0.0,,0.0 0.0,,0.0,4.8,0.0,1.6
Rajasthan,,,2.9 2.8,2.9,,1.1 2.1,,1.5,12.5,12.1,12.3
Sikkim,,,0.5 0.0,0.0,,0.0 0.0,,0.0,25.6,21.1,23.2
Tamil Nadu,,,1.4 0.8,1.1,,0.4 0.3,,0.4,13.4,5.6,9.6
Telangana,,,0.0 0.0,0.0,,0.4 0.0,,0.1,14.0,10.6,12.3
Tripura,,,2.2 1.8,2.0,,3.8 3.2,,3.5,27.0,26.4,26.7
Uttar Pradesh,,,2.8 2.5,2.7,,0.2 4.0,,2.1,14.6,14.2,14.4
Uttarakhand,,,2.7 2.2,2.5,,2.2 2.4,,2.3,9.5,7.3,8.4
West Bengal,,,0.9 0.3,0.6,,0.0 0.0,,0.0,14.1,13.6,13.8
